Class,Type,Time,Days,Location,Date Range,Schedule Type,Instructor
Fundamentals of Accounting - 40001 - ACCT 108 - 010,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P)
Introduction to Financial Accounting - 40002 - ACCT 151 - 010,Class,7:45 am - 9:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P)
Introduction to Financial Accounting - 40003 - ACCT 151 - 011,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P)
Introduction to Financial Accounting - 40004 - ACCT 151 - 012,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P)
Introduction to Financial Accounting - 44056 - ACCT 151 - 013,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P)
Introduction to Financial Accounting - 40007 - ACCT 151 - 014,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P)
Introduction to Financial Accounting - 40008 - ACCT 151 - 015,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P)
Introduction to Financial Accounting - 40009 - ACCT 151 - 016,Class,1:10 pm - 2:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P)
Introduction to Financial Accounting - 40010 - ACCT 151 - 017,Class,2:10 pm - 3:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P)
Introduction to Financial Accounting - 44746 - ACCT 151 - 018,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P)
Introduction to Financial Accounting - 47865 - ACCT 151 - 019,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P)
Introduction to Managerial Accounting - 40011 - ACCT 152 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P)
Introduction to Managerial Accounting - 40012 - ACCT 152 - 011,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P)
Introduction to Managerial Accounting - 42544 - ACCT 152 - 012,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P)
Introduction to Managerial Accounting - 47867 - ACCT 152 - 013,Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P)
Fundamentals of Federal Income Taxation - 40013 - ACCT 307 - 010,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Matthew A.  Melone (P)
Fundamentals of Federal Income Taxation - 44057 - ACCT 307 - 011,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P)
Accounting Information Systems - 40015 - ACCT 311 - 010,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,James A.  Hall (P)
Intermediate Accounting I - 43921 - ACCT 315 - 010,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Parveen P.  Gupta (P)
Intermediate Accounting I - 42994 - ACCT 315 - 011,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Parveen P.  Gupta (P)
Intermediate Accounting I - 40016 - ACCT 315 - 012,Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Marietta   Peytcheva (P)
Intermediate Accounting II - 40018 - ACCT 316 - 010,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,David M.  Folsom (P)
Advanced Financial Accounting - 43338 - ACCT 317 - 010,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Heibatollah   Sami (P)
Advanced Financial Accounting - 44741 - ACCT 317 - 011,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Heibatollah   Sami (P)
Fundamentals of Auditing - 40019 - ACCT 320 - 010,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Sanaz   Aghazadeh (P)
Cost Accounting - 40020 - ACCT 324 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Kenneth P.  Sinclair (P)
Cost Accounting - 40021 - ACCT 324 - 011,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Kenneth P.  Sinclair (P)
