Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor
Introduction to Africana Studies - 49498 - AAS 003 - 010,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Darius   Williams (P)
African Civilization - 47180 - AAS 005 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Kwame   Essien (P)
Introduction to Black Religions and Hip-Hop - 49321 - AAS 025 - 010,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Monica R.  Miller (P)
Contemporary African American Theatre 1990-present - 49185 - AAS 062 - 010,Class,10:45 am - 12:00 pm,TR,049  Zoellner Arts Center 211,"Aug 25, 2014 - Dec 05, 2014",Lecture,Darius   Williams (P)
Tupac: Thug Life & the Black Revolutionary Tradition - 48927 - AAS 090 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P)
West African Dance - 49573 - AAS 095 - 010,Class,9:20 am - 10:35 am,TR,038  Taylor Gym GYM,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P)
Arts of the African Continent - 47726 - AAS 195 - 010,Class,8:45 am - 10:00 am,WF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Susan E.  Kart (P)
Identity and the Battle for Authenticity - 49338 - AAS 198 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Monica R.  Miller (P)
Global Contemporary: Recent Art Movements Around the World - 49505 - AAS 221 - 010,Class,2:35 pm - 3:50 pm,WF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Susan E.  Kart (P)
Social Movements - 49378 - AAS 313 - 010,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Ziad Wael  Munson (P)
Independent Study - 48219 - AAS 371 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,James B.  Peterson (P)
Independent Study - 49508 - AAS 371 - 011,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Monica R.  Miller (P)
Independent Study - 49509 - AAS 371 - 012,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Susan E.  Kart (P)
Independent Study - 49510 - AAS 371 - 013,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Kwame   Essien (P)
Independent Study - 49511 - AAS 371 - 014,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Darius   Williams (P)
Independent Study - 48221 - AAS 372 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,James B.  Peterson (P)
Independent Study - 49512 - AAS 372 - 011,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Monica R.  Miller (P)
Independent Study - 49513 - AAS 372 - 012,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Susan E.  Kart (P)
Independent Study - 49514 - AAS 372 - 013,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Kwame   Essien (P)
Independent Study - 49515 - AAS 372 - 014,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Darius   Williams (P)
"Global Africa:Aid,Volunt,NGO's - 49516 - AAS 396 - 010",Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Kwame   Essien (P)
