Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Introduction to Anthropology - 41713 - ANTH 001 - 010,Class,11:10 am - 12:00 pm,WF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Nicola B.  Tannenbaum (P),Class Activity 1,11:10 am - 1:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Nicola B.  Tannenbaum (P)
Sex & MarriageAround the World - 49370 - ANTH 090 - 010,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Bruce   Whitehouse (P),,,,,,,
Past is Not Foreign Country! - 49555 - ANTH 090 - 011,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Cameron   Wesson (P),,,,,,,
Cultural Studies and Globalization - 47351 - ANTH 106 - 010,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Environment and Culture - 47983 - ANTH 121 - 010,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,David   Casagrande (P),,,,,,,
Human Evolution - 49371 - ANTH 145 - 010,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,John B.  Gatewood (P),,,,,,,
Greek Archaeology - 49372 - ANTH 174 - 010,Class,1:10 pm - 2:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,David B.  Small (P),,,,,,,
Mesoamerican Archaeology - 48626 - ANTH 178 - 010,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Sarah J.  Kurnick (P),,,,,,,
Anthropology Of Fishing - 49374 - ANTH 305 - 010,Class,1:10 pm - 2:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,John B.  Gatewood (P),,,,,,,
"Religion, Witchcraft And Magic - 47847 - ANTH 335 - 010",Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,David   Casagrande (P),,,,,,,
