Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Engineering/Architectural Graphics and Design - 41006 - ARCH 010 - 060,Class,9:10 am - 10:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Peter   Mueller (P),Class Activity 1,1:10 pm - 4:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Peter   Mueller (P)
Engineering/Architectural Graphics and Design - 41007 - ARCH 010 - 061,Class,9:10 am - 10:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Peter   Mueller (P),Class Activity 1,1:10 pm - 4:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Peter   Mueller (P)
Engineering/Architectural Graphics and Design - 41233 - ARCH 010 - 062,Class,9:10 am - 10:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Peter   Mueller (P),Class Activity 1,1:10 pm - 4:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Peter   Mueller (P)
Architectural Design I - 46169 - ARCH 043 - 011,Class,1:10 pm - 4:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Anthony   Viscardi (P),,,,,,,
Architectural Design II - 40023 - ARCH 143 - 010,Class,1:10 pm - 4:00 pm,WF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Nikolai P.  Nikolov (P),,,,,,,
Architectural Technology I - 46762 - ARCH 157 - 010,Class,9:10 am - 12:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Nikolai P.  Nikolov (P),,,,,,,
Greek Archaeology - 49567 - ARCH 174 - 010,Class,1:10 pm - 2:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,David B.  Small (P),,,,,,,
Architecture and the City since WWII - 48785 - ARCH 214 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Hyun-Tae   Jung (P),,,,,,,
Architectural Design III - 40024 - ARCH 243 - 010,Class,1:10 pm - 4:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Hyun-Tae   Jung (P),,,,,,,
Special Topics in Architecture - 48787 - ARCH 271 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Hyun-Tae   Jung (P),,,,,,,
Special Topics in Architecture - 44527 - ARCH 271 - 012,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Christine E.  Ussler (P),,,,,,,
Special Topics in Architecture - 47064 - ARCH 271 - 014,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Nikolai P.  Nikolov (P),,,,,,,
Special Topics in Architecture - 47061 - ARCH 271 - 015,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Anthony   Viscardi (P),,,,,,,
The Architecture of Play/The Play of Architecture - 49205 - ARCH 297 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Anthony   Viscardi (P),,,,,,,
Portfolio - 40631 - ARCH 311 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Nikolai P.  Nikolov (P),,,,,,,
Portfolio - 48468 - ARCH 311 - 012,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Christine E.  Ussler (P),,,,,,,
Portfolio - 48469 - ARCH 311 - 013,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Amy   Forsyth (P),,,,,,,
Portfolio - 48789 - ARCH 311 - 014,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Anthony   Viscardi (P),,,,,,,
Portfolio - 48790 - ARCH 311 - 015,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Hyun-Tae   Jung (P),,,,,,,
Architectural Representation - 49206 - ARCH 328 - 010,Class,10:10 am - 12:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Christine E.  Ussler (P),,,,,,,
Architectural Design IV - 40025 - ARCH 343 - 010,Class,1:10 pm - 4:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Christine E.  Ussler (P),,,,,,,
Honors Project - 40878 - ARCH 389 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Teaching   Staff (P),,,,,,,
