Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Art History:  Ancient & Medieval - 49207 - ART 001 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Nicholas   Sawicki (P),,,,,,,
Digital Photography I - 48352 - ART 007 - 010,Class,1:10 pm - 4:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Drawing I - 41235 - ART 011 - 010,Class,9:20 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Berrisford W  Boothe (P),,,,,,,
Drawing I - 44966 - ART 011 - 011,Class,1:10 pm - 4:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Jason E.  Travers (P),,,,,,,
Sculpture I - 46518 - ART 013 - 010,Class,9:20 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Brian Wesley  Heiss (P),,,,,,,
Painting I - 40848 - ART 035 - 010,Class,1:10 pm - 4:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Berrisford W  Boothe (P),,,,,,,
Special Topics in Art History - 48792 - ART 069 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Nicholas   Sawicki (P),,,,,,,
Introductory Studio Practice - 40976 - ART 073 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Special Topics in Art History - 41013 - ART 169 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Nicholas   Sawicki (P),,,,,,,
Greek Archaeology - 49566 - ART 174 - 010,Class,1:10 pm - 2:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,David B.  Small (P),,,,,,,
Arts of the African Continent - 49012 - ART 195 - 010,Class,8:45 am - 10:00 am,WF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Susan E.  Kart (P),,,,,,,
Studio Workshop - 49527 - ART 217 - 010,Class,9:10 am - 12:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Anna   Chupa (P),,,,,,,
Global Contemporary:  Recent Art Movements Around the World - 49506 - ART 221 - 010,Class,2:35 pm - 3:50 pm,WF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Susan E.  Kart (P),,,,,,,
Latino Arts & Culture in Usa - 49208 - ART 227 - 010,Class,9:20 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Ricardo   Viera (P),,,,,,,
Special Topics in Art History - 40664 - ART 269 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Nicholas   Sawicki (P),,,,,,,
"Research, Collections & Exhibits - 49210 - ART 275 - 010",Class,1:10 pm - 4:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Ricardo   Viera (P),,,,,,,
Art Capstone - 49528 - ART 317 - 010,Class,9:10 am - 12:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Anna   Chupa (P),,,,,,,
Special Topics:  Museum Studies - 40694 - ART 370 - 010,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Internship,Ricardo   Viera (P),,,,,,,
Studio Art Internship - 46523 - ART 373 - 011,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Internship,Teaching   Staff (P),,,,,,,
Museum Internship - 40695 - ART 375 - 010,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Internship,Ricardo   Viera (P),,,,,,,
Honors Project - 40870 - ART 389 - 010,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Teaching   Staff (P),,,,,,,
