Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Introduction to Astronomy - 40784 - ASTR 007 - 010,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,John Michael  Loomis (P),,,,,,,
Introduction to Astronomy - 40890 - ASTR 007 - 011,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,John Michael  Loomis (P),,,,,,,
Introduction to Astronomy Laboratory - 40786 - ASTR 008 - 060,Class,7:10 pm - 10:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Gary G.  DeLeo (P),,,,,,,
Introduction to Astronomy Laboratory - 40787 - ASTR 008 - 061,Class,1:10 pm - 4:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Gary G.  DeLeo (P),,,,,,,
Introduction to Astronomy Laboratory - 40788 - ASTR 008 - 062,Class,1:10 pm - 4:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Gary G.  DeLeo (P),,,,,,,
Introduction to Astronomy Laboratory - 45439 - ASTR 008 - 063,Class,7:10 pm - 10:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Gary G.  DeLeo (P),,,,,,,
"The Dangerous Universe:  Eruptions, Cataclysms and Big Bangs - 48939 - ASTR 090 - 010",Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,George Eadon  McCluskey (P),,,,,,,
Planetary Astronomy - 41087 - ASTR 105 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Joshua A.  Pepper (P),Class Activity 1,12:10 pm - 1:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Joshua A.  Pepper (P)
Modern Astrophysics I - 46925 - ASTR 301 - 010,Class,1:10 pm - 2:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Mary Virginia  McSwain (P),Class Activity 1,12:10 pm - 1:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Mary Virginia  McSwain (P)
Topics in Astrophysics - 41184 - ASTR 350 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,George Eadon  McCluskey (P),,,,,,,
