Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
"Freshman Seminar 1, Introduction to Bioengineering 1: Philosophy to Practice - 41377 - BIOE 001 - 010",Class,1:10 pm - 2:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Svetlana   Tatic-Lucic (P),,,,,,,
Elements of Bioengineering - 42667 - BIOE 110 - 110,Class,7:55 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Sabrina S.  Jedlicka (P),Class Activity 1,8:10 am - 9:00 am,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Sabrina S.  Jedlicka (P)
Biomechanics - 46797 - BIOE 120 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Arkady   Voloshin (P),,,,,,,
Biomechanics Lab Co-op - 46798 - BIOE 121 - 060,Class,1:10 pm - 4:00 pm,R,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Lab,Arkady   Voloshin (P),,,,,,,
Biomechanics Lab Co-op - 47625 - BIOE 121 - 061,Class,1:10 pm - 4:00 pm,T,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Lab,Arkady   Voloshin (P),,,,,,,
Biomechanics Lab Co-op - 48187 - BIOE 121 - 062,Class,1:10 pm - 4:00 pm,M,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Lab,Arkady   Voloshin (P),,,,,,,
Bioengineering Research 1 - 42196 - BIOE 132 - 010,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Research,Lori   Herz (P),,,,,,,
GMP Good manufacturing practice and regulatory affairs for bioengineers - 48832 - BIOE 225 - 011,Class,7:10 pm - 10:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Raymond Sam  Niedbala (P),,,,,,,
Bioengineering Research 3 - 42679 - BIOE 242 - 010,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Research,Lori   Herz (P),,,,,,,
Biomedical Image Computing and Modeling - 49445 - BIOE 320 - 010,Class,2:10 pm - 3:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Xiaolei   Huang (P),,,,,,,
Topics in Materials Processing: Inorganic Biomaterials - 48192 - BIOE 325 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Wojciech Z.  Misiolek (P),,,,,,,
Biotechnology I - 46831 - BIOE 341 - 010,Class,4:10 pm - 5:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Tsai-An   Hsu (P),,,,,,,
Integrated Biotechnology Laboratory - 43146 - BIOE 343 - 060,Class,1:10 pm - 4:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Tsai-An   Hsu (P),Class Activity 1,1:10 pm - 4:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Tsai-An   Hsu (P)
Integrated Biotechnology Laboratory - 47511 - BIOE 343 - 061,Class,1:10 pm - 4:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Tsai-An   Hsu (P),Class Activity 1,1:10 pm - 4:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Tsai-An   Hsu (P)
Metabolic Engineering - 47558 - BIOE 349 - 010,Class,9:20 am - 10:35 am,TR,019  Packard Lab 410,"Aug 25, 2014 - Dec 05, 2014",Lecture,Lori   Herz (P),,,,,,,
Special Topics - 46238 - BIOE 350 - 010,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Lecture,Lori   Herz (P),,,,,,,
Integrated Biostructural Mechanics Laboratory - 43339 - BIOE 357 - 060,Class,1:10 pm - 4:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Susan Fueshko  Perry (P),Class Activity 1,1:10 pm - 4:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Susan Fueshko  Perry (P)
