Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Bioscience in the 21st Century - 45673 - BIOS 010 - 010,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Vassie C.  Ware (P),,,,,,,
Freshman Seminar - 44245 - BIOS 090 - 010,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Vassie C.  Ware (P), Teaching   Staff ",Class Activity 1,1:10 pm - 2:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Vassie C.  Ware (P), Teaching   Staff "
Cancer - 44246 - BIOS 090 - 011,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Michael R.  Kuchka (P), Vassie C.  Ware ",Class Activity 1,11:10 am - 12:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Michael R.  Kuchka (P), Vassie C.  Ware "
Freshman Seminar - 45023 - BIOS 090 - 012,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Linda J.  Lowe-Krentz (P), Vassie C.  Ware ",Class Activity 1,11:10 am - 12:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Linda J.  Lowe-Krentz (P), Vassie C.  Ware "
Biology Core II: Genetics - 42002 - BIOS 115 - 110,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P),Class Activity 1,12:10 pm - 1:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P)
Biology Core II: Genetics - 42600 - BIOS 115 - 111,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P),Class Activity 1,1:10 pm - 2:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P)
Biology Core II: Genetics - 42601 - BIOS 115 - 112,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P),Class Activity 1,12:10 pm - 1:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P)
Biology Core II: Genetics - 46610 - BIOS 115 - 113,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P),Class Activity 1,1:10 pm - 2:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P)
Biology Core II: Genetics - 46612 - BIOS 115 - 114,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P),Class Activity 1,12:10 pm - 1:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P)
Biology Core II: Genetics - 46613 - BIOS 115 - 115,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P),Class Activity 1,1:10 pm - 2:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P)
Biology Core II: Genetics Laboratory - 42003 - BIOS 116 - 060,Class,1:10 pm - 4:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Margaret A.  Kenna (P),,,,,,,
Biology Core II: Genetics Laboratory - 42004 - BIOS 116 - 061,Class,1:10 pm - 4:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Margaret A.  Kenna (P),,,,,,,
Biology Core II: Genetics Laboratory - 42005 - BIOS 116 - 062,Class,1:10 pm - 4:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Margaret A.  Kenna (P),,,,,,,
Biology Core II: Genetics Laboratory - 42007 - BIOS 116 - 063,Class,1:10 pm - 4:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Margaret A.  Kenna (P),,,,,,,
Biology Core II: Genetics Laboratory - 42008 - BIOS 116 - 064,Class,1:10 pm - 4:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Margaret A.  Kenna (P),,,,,,,
Biology Core II: Genetics Laboratory - 42009 - BIOS 116 - 065,Class,1:10 pm - 4:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Margaret A.  Kenna (P),,,,,,,
Biology Core II: Genetics Laboratory - 42010 - BIOS 116 - 066,Class,1:10 pm - 4:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Margaret A.  Kenna (P),,,,,,,
Biology Core II: Genetics Laboratory - 46635 - BIOS 116 - 067,Class,1:10 pm - 4:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Margaret A.  Kenna (P),,,,,,,
Phage Genetics Laboratory - 48347 - BIOS 118 - 060,Class,8:30 am - 11:30 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,"Vassie C.  Ware (P), Margaret A.  Kenna ",,,,,,,
