Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Introduction to Information Systems - 41441 - BIS 111 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Chitra S.  Nayar (P),,,,,,,
Introduction to Information Systems - 41440 - BIS 111 - 011,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Chitra S.  Nayar (P),,,,,,,
Introduction to Information Systems - 41442 - BIS 111 - 012,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Chitra S.  Nayar (P),,,,,,,
Introduction to Information Systems - 41760 - BIS 111 - 013,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Chitra S.  Nayar (P),,,,,,,
Managing Information Systems Analysis and Design - 40050 - BIS 311 - 010,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Yuliang   Yao (P),,,,,,,
Business Data Management - 46467 - BIS 324 - 010,Class,8:45 am - 10:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Catherine M.  Ridings (P),,,,,,,
Enterprise Security and Risk Management - 49431 - BIS 333 - 010,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Web Application Development for Business - 46863 - BIS 335 - 010,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Catherine M.  Ridings (P),,,,,,,
e-Business Enterprise Applications - 44061 - BIS 342 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Susan A.  Sherer (P),,,,,,,
e-Business Enterprise Applications - 49429 - BIS 342 - 011,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Susan A.  Sherer (P),,,,,,,
Directed Readings - 40629 - BIS 371 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Catherine M.  Ridings (P),,,,,,,
Special Topics in Information Systems - 40699 - BIS 372 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Catherine M.  Ridings (P),,,,,,,
