Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Introduction to Business - 48872 - BUS 001 - 117,Class,8:45 am - 10:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),Class Activity 1,11:10 am - 12:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P)
Introduction to Business - 42552 - BUS 001 - 210,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),Class Activity 1,1:10 pm - 2:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P)
Introduction to Business - 43413 - BUS 001 - 213,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),Class Activity 1,1:10 pm - 2:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P)
Introduction to Business - 43414 - BUS 001 - 214,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),Class Activity 1,1:10 pm - 2:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P)
Introduction to Business - 48873 - BUS 001 - 216,Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),Class Activity 1,1:10 pm - 2:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P)
Behavioral Skills Workshop - 49081 - BUS 125 - 012,Class,6:30 pm - 9:30 pm,M,TBA,"Aug 25, 2014 - Sep 15, 2014",Lecture,Teaching   Staff (P),,,,,,,
Behavioral Skills Workshop - 49082 - BUS 125 - 013,Class,6:30 pm - 9:30 pm,T,TBA,"Aug 26, 2014 - Sep 16, 2014",Lecture,Teaching   Staff (P),,,,,,,
Information Analysis and Financial Decision Making I - 41814 - BUS 126 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Daniel A.  Bayak (P),,,,,,,
Information Analysis and Financial Decision Making I - 41815 - BUS 126 - 011,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Daniel A.  Bayak (P),,,,,,,
Information Analysis and Financial Decision Making I - 49474 - BUS 126 - 012,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Daniel A.  Bayak (P),,,,,,,
Integrated Product Development (IPD) II - 41000 - BUS 212 - 010,Class,2:10 pm - 4:00 pm,WF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,John B.  Ochs (P),,,,,,,
"Developing, Producing, and Marketing Products and Services I - 42561 - BUS 225 - 010",Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Robert   Kuchta (P),,,,,,,
"Developing, Producing, and Marketing Products and Services I - 42562 - BUS 225 - 011",Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Robert   Kuchta (P),,,,,,,
Thesis (Moc) - 40986 - BUS 490 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Andrew John  Ward (P),,,,,,,
Dissertation (Moc) - 40982 - BUS 499 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Dissertation,Andrew John  Ward (P),,,,,,,
