Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Material and Energy Balances of Chemical Processes - 40060 - CHE 031 - 110,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Anthony J.  McHugh (P),Class Activity 1,10:10 am - 11:00 am,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Anthony J.  McHugh (P)
Material and Energy Balances of Chemical Processes - 40061 - CHE 031 - 111,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Anthony J.  McHugh (P),Class Activity 1,11:10 am - 12:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Anthony J.  McHugh (P)
Undergraduate Research - 46815 - CHE 085 - 010,Class,8:10 am - 9:00 am,MW,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Research,Kemal   Tuzla (P),,,,,,,
Introduction to Heat Transfer - 40062 - CHE 151 - 110,Class,12:45 pm - 2:00 pm,WF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Steven   McIntosh (P),Class Activity 1,8:10 am - 9:00 am,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Steven   McIntosh (P)
Introduction to Heat Transfer - 45578 - CHE 151 - 111,Class,12:45 pm - 2:00 pm,WF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Steven   McIntosh (P),Class Activity 1,9:10 am - 10:00 am,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Steven   McIntosh (P)
Undergraduate Research I - 40064 - CHE 185 - 010,Class,8:10 am - 10:00 am,MWF,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Research,Kemal   Tuzla (P),,,,,,,
Undergraduate Research II - 44891 - CHE 186 - 010,Class,8:10 am - 10:00 am,MWF,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Research,Kemal   Tuzla (P),,,,,,,
Methods of Analysis in Chemical Engineering - 40065 - CHE 201 - 110,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Mark A  Snyder (P),Class Activity 1,1:10 pm - 4:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Mark A  Snyder (P)
Methods of Analysis in Chemical Engineering - 44898 - CHE 201 - 111,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Mark A  Snyder (P),Class Activity 1,1:10 pm - 4:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Mark A  Snyder (P)
Chemical Engineering Lab I - 40067 - CHE 202 - 060,Class,11:10 am - 12:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Kemal   Tuzla (P),Class Activity 1,1:10 pm - 4:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Kemal   Tuzla (P)
