Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Introduction to Chemical Principles - 45704 - CHM 030 - 110,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Andy W.  Ho (P),Class Activity 1,1:10 pm - 4:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Andy W.  Ho (P)
Introduction to Chemical Principles - 45705 - CHM 030 - 111,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Andy W.  Ho (P),Class Activity 1,8:30 am - 11:20 am,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Andy W.  Ho (P)
Introduction to Chemical Principles - 45707 - CHM 030 - 112,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Andy W.  Ho (P),Class Activity 1,1:10 pm - 4:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Andy W.  Ho (P)
Introduction to Chemical Principles - 45708 - CHM 030 - 113,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Andy W.  Ho (P),Class Activity 1,8:30 am - 11:20 am,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Andy W.  Ho (P)
Introduction to Chemical Principles - 45710 - CHM 030 - 114,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Andy W.  Ho (P),Class Activity 1,1:10 pm - 4:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Andy W.  Ho (P)
Introduction to Chemical Principles - 45711 - CHM 030 - 115,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Andy W.  Ho (P),Class Activity 1,1:10 pm - 4:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Andy W.  Ho (P)
Introduction to Chemical Principles - 46246 - CHM 030 - 116,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Andy W.  Ho (P),Class Activity 1,1:10 pm - 4:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Andy W.  Ho (P)
Introduction to Chemical Principles - 45712 - CHM 030 - 210,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Rebecca S.  Miller (P),Class Activity 1,1:10 pm - 4:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Rebecca S.  Miller (P)
Introduction to Chemical Principles - 45717 - CHM 030 - 211,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Rebecca S.  Miller (P),Class Activity 1,8:30 am - 11:20 am,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Rebecca S.  Miller (P)
Introduction to Chemical Principles - 45722 - CHM 030 - 212,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Rebecca S.  Miller (P),Class Activity 1,1:10 pm - 4:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Rebecca S.  Miller (P)
