Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Beginning Chinese Reading and Writing I - 42184 - CHIN 001 - 010,Class,2:10 pm - 3:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,David W.  Pankenier (P),,,,,,,
Beginning Chinese Reading and Writing I - 44393 - CHIN 001 - 011,Class,10:10 am - 11:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,David W.  Pankenier (P),,,,,,,
Beginning Spoken Chinese I - 41448 - CHIN 003 - 010,Class,9:20 am - 10:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Limei   Shan (P),,,,,,,
Beginning Spoken Chinese I - 44033 - CHIN 003 - 011,Class,3:10 pm - 4:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Limei   Shan (P),,,,,,,
Intermediate Chinese Reading and Writing I - 42186 - CHIN 011 - 010,Class,1:10 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Intermediate Spoken Chinese I - 41454 - CHIN 013 - 010,Class,2:10 pm - 3:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Limei   Shan (P),,,,,,,
Intermediate Spoken Chinese I - 49485 - CHIN 013 - 011,Class,10:45 am - 11:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Limei   Shan (P),,,,,,,
Advanced Chinese Reading & Writing I - 42187 - CHIN 111 - 010,Class,11:10 am - 12:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Advanced Spoken Chinese I - 41456 - CHIN 113 - 010,Class,1:10 pm - 2:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Limei   Shan (P),,,,,,,
Chinese Short Stories - 48711 - CHIN 134 - 010,Class,12:10 pm - 1:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Limei   Shan (P),,,,,,,
Free Writing in Chinese - 49486 - CHIN 197 - 010,Class,10:10 am - 11:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Dongning   Wang (P),,,,,,,
Business Chinese - 49487 - CHIN 252 - 010,Class,2:10 pm - 3:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Intensive Chinese Conversation - 49488 - CHIN 254 - 010,Class,10:10 am - 11:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Special Topics - 48326 - CHIN 297 - 010,Class,2:10 pm - 4:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Dongning   Wang (P),,,,,,,
