Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Engineering Statics - 48340 - CEE 003 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Spencer E.  Quiel (P),,,,,,,
Engineering/Architectural Graphics and Design - 41542 - CEE 010 - 060,Class,9:10 am - 10:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Peter   Mueller (P),Class Activity 1,1:10 pm - 4:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Peter   Mueller (P)
Engineering/Architectural Graphics and Design - 41543 - CEE 010 - 061,Class,9:10 am - 10:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Peter   Mueller (P),Class Activity 1,1:10 pm - 4:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Peter   Mueller (P)
Engineering/Architectural Graphics and Design - 41544 - CEE 010 - 062,Class,9:10 am - 10:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Peter   Mueller (P),Class Activity 1,1:10 pm - 4:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Peter   Mueller (P)
Surveying - 41546 - CEE 011 - 060,Class,11:10 am - 12:00 pm,MW,TBA,"Aug 25, 2014 - Sep 26, 2014",Lecture and Lab,Mesut   Pervizpour (P),Class Activity 1,1:10 pm - 4:00 pm,R,TBA,"Aug 25, 2014 - Sep 26, 2014",Lecture and Lab,Mesut   Pervizpour (P)
Surveying - 41862 - CEE 011 - 061,Class,11:10 am - 12:00 pm,MW,TBA,"Aug 25, 2014 - Sep 26, 2014",Lecture and Lab,Mesut   Pervizpour (P),Class Activity 1,1:10 pm - 4:00 pm,R,TBA,"Aug 25, 2014 - Sep 26, 2014",Lecture and Lab,Mesut   Pervizpour (P)
Surveying - 41863 - CEE 011 - 062,Class,11:10 am - 12:00 pm,MW,TBA,"Aug 25, 2014 - Sep 26, 2014",Lecture and Lab,Mesut   Pervizpour (P),Class Activity 1,1:10 pm - 4:00 pm,R,TBA,"Aug 25, 2014 - Sep 26, 2014",Lecture and Lab,Mesut   Pervizpour (P)
Civil Engineering Statistics - 41548 - CEE 012 - 060,Class,11:10 am - 12:00 pm,MWF,TBA,"Sep 29, 2014 - Dec 05, 2014",Lecture and Lab,Tara Jeanne  Troy (P),,,,,,,
Readings in Civil Engineering - 41549 - CEE 104 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,John L.  Wilson (P),,,,,,,
Mechanics of Fluids - 41551 - CEE 121 - 060,Class,10:45 am - 11:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Gerard P.  Lennon (P),Class Activity 1,1:10 pm - 3:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Gerard P.  Lennon (P)
Mechanics of Fluids - 41552 - CEE 121 - 061,Class,10:45 am - 11:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Gerard P.  Lennon (P),Class Activity 1,1:10 pm - 3:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Gerard P.  Lennon (P)
Mechanics of Fluids - 44142 - CEE 121 - 062,Class,10:45 am - 11:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Gerard P.  Lennon (P),Class Activity 1,1:10 pm - 3:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Gerard P.  Lennon (P)
Civil Engineering Materials - 41554 - CEE 123 - 060,Class,8:20 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Clay Joshua  Naito (P),Class Activity 1,1:10 pm - 4:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Clay Joshua  Naito (P)
Civil Engineering Materials - 41555 - CEE 123 - 061,Class,8:20 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Clay Joshua  Naito (P),Class Activity 1,1:10 pm - 4:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Clay Joshua  Naito (P)
Fundamentals of Soil Mechanics - 41557 - CEE 142 - 060,Class,12:10 pm - 1:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Muhannad T.  Suleiman (P),Class Activity 1,1:10 pm - 4:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Muhannad T.  Suleiman (P)
Fundamentals of Soil Mechanics - 41558 - CEE 142 - 061,Class,12:10 pm - 1:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Muhannad T.  Suleiman (P),Class Activity 1,1:10 pm - 4:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Muhannad T.  Suleiman (P)
Fundamentals of Soil Mechanics - 41559 - CEE 142 - 062,Class,12:10 pm - 1:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Muhannad T.  Suleiman (P),Class Activity 1,1:10 pm - 4:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Muhannad T.  Suleiman (P)
