Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Breadth of Computing - 48342 - CSE 001 - 010,Class,7:55 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Henry F.  Korth (P),,,,,,,
Fundamentals of Programming - 48343 - CSE 002 - 110,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Brian Y  Chen (P),Class,9:10 am - 10:00 am,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Brian Y  Chen (P)
Fundamentals of Programming - 48344 - CSE 002 - 111,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Brian Y  Chen (P),Class,10:10 am - 11:00 am,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Brian Y  Chen (P)
Programming and Data Structures - 41495 - CSE 017 - 010,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Jeffrey D.  Heflin (P),,,,,,,
Systems Software - 41497 - CSE 109 - 010,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Sharon M.  Kalafut (P),Class,12:10 pm - 1:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Sharon M.  Kalafut (P)
Technical Presentation - 47482 - CSE 130 - 010,Class,12:10 pm - 1:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,John R.  Spletzer (P),,,,,,,
Software Engineering - 43182 - CSE 216 - 010,Class,1:10 pm - 2:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,James A  Femister (P),,,,,,,
"Computers, the Internet, and Society - 41500 - CSE 252 - 010",Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Ronald W.  Crane (P),,,,,,,
Discrete Structures - 41610 - CSE 261 - 010,Class,3:10 pm - 4:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Mark   Skandera (P),,,,,,,
Programming Languages - 41621 - CSE 262 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Gang   Tan (P),,,,,,,
Web Applications - 49524 - CSE 264 - 010,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,James A  Femister (P),,,,,,,
System and Network Administration - 49441 - CSE 265 - 110,Class,9:10 am - 10:00 am,WF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Brian D.  Davison (P),Class Activity 1,9:10 am - 11:00 am,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Brian D.  Davison (P)
System and Network Administration - 49443 - CSE 265 - 111,Class,9:10 am - 10:00 am,WF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Brian D.  Davison (P),Class Activity 1,9:20 am - 11:10 am,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Brian D.  Davison (P)
Operating System Design - 41624 - CSE 303 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Mooi Choo   Chuah (P),,,,,,,
Structural Bioinformatics - 48950 - CSE 307 - 010,Class,1:10 pm - 2:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Brian Y  Chen (P),,,,,,,
Computer Graphics - 47483 - CSE 313 - 010,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Xiaolei   Huang (P),,,,,,,
Introduction to the Theory of Computation - 43186 - CSE 318 - 010,Class,1:10 pm - 2:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Hector   Munoz-Avila (P),,,,,,,
Biomedical Image Computing and Modeling - 49444 - CSE 320 - 010,Class,2:10 pm - 3:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Xiaolei   Huang (P),,,,,,,
Embedded Systems - 41926 - CSE 336 - 010,Class,3:10 pm - 4:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,David Richard  Decker (P),,,,,,,
Reinforcement Learning - 49447 - CSE 337 - 010,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Hector   Munoz-Avila (P),,,,,,,
Design and Analysis of Algorithms - 49449 - CSE 340 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Henry F.  Korth (P),,,,,,,
Data Mining - 49453 - CSE 347 - 010,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Daniel P.  Lopresti (P),,,,,,,
Special Topics - 48337 - CSE 350 - 010,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Shalinee   Kishore (P),,,,,,,
Introduction to Mobile Robotics - 49464 - CSE 360 - 010,Class,7:55 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,John R.  Spletzer (P),,,,,,,
Senior Project - 41945 - CSE 379 - 010,Class,12:10 pm - 1:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,John R.  Spletzer (P),,,,,,,
Research Methods - 48364 - CSE 406 - 010,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Brian D.  Davison (P),,,,,,,
Structural Bioinformatics - 48951 - CSE 407 - 010,Class,1:10 pm - 2:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Brian Y  Chen (P),,,,,,,
Advanced Programming Techniques - 41498 - CSE 411 - 010,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Gang   Tan (P),,,,,,,
Biomedical Image Computing and Modeling - 49469 - CSE 420 - 010,Class,2:10 pm - 3:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Xiaolei   Huang (P),,,,,,,
Semantic Web Topics - 49470 - CSE 428 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Jeffrey D.  Heflin (P),,,,,,,
Reinforcement Learning and Markov Decision Precesses - 49448 - CSE 437 - 010,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Hector   Munoz-Avila (P),,,,,,,
Data Mining - 49455 - CSE 447 - 010,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Daniel P.  Lopresti (P),,,,,,,
Special Topics - 48165 - CSE 450 - 010,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Shalinee   Kishore (P),,,,,,,
Intro to Mobile Robotics - 49467 - CSE 460 - 010,Class,7:55 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,John R.  Spletzer (P),,,,,,,
Thesis - 41646 - CSE 490 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Brian D.  Davison (P),,,,,,,
Dissertation - 41652 - CSE 499 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Dissertation,Hector   Munoz-Avila (P),,,,,,,
