Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Crisis Management in the Schools - 42691 - CPSY 407 - 010,Class,7:10 pm - 10:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Kevin M.  Kelly (P),,,,,,,
Culture-Centered Career Intervention - 46366 - CPSY 436 - D10,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Full On line Class,Susan L.  Rarick (P),,,,,,,
Counseling and Therapeutic Approaches - 40105 - CPSY 442 - 010,Class,4:10 pm - 7:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Arnold R.  Spokane (P),,,,,,,
Elementary & Secondary School Counseling I - 47650 - CPSY 445 - 010,Class,4:10 pm - 7:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Diane E.  Flisser (P),,,,,,,
Counseling Issues and Skills: Advanced Techniques in Counseling - 45114 - CPSY 455 - 010,Class,7:10 pm - 10:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Carol Markowitz  Richman (P),,,,,,,
Foundations of Counseling Psychology - 45760 - CPSY 460 - 010,Class,10:10 am - 1:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Christopher T H  Liang (P),,,,,,,
Assessment Adult Intel Funct - 49111 - CPSY 461 - 010,Class,7:10 pm - 10:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Current Issues in Counseling and Therapy: Addictions - 49112 - CPSY 466 - 012,Class,7:10 pm - 10:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Timothy J.  Silvestri (P),,,,,,,
Doctoral Seminar In Counseling Psychology - 49580 - CPSY 467 - 010,Class,4:10 pm - 7:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Grace   Caskie (P),,,,,,,
Independent Study and Research - 40717 - CPSY 470 - 010,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Teaching   Staff (P),,,,,,,
Independent Study and Research - 42062 - CPSY 470 - 011,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Independent Study and Research - 41094 - CPSY 470 - 012,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Research,Teaching   Staff (P),,,,,,,
Independent Study and Research - 42063 - CPSY 470 - 013,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Diversity and Multicultural Perspectives - 46470 - CPSY 471 - 010,Class,4:10 pm - 7:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Christopher T H  Liang (P),,,,,,,
