Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Introduction to Environmental Science - 45777 - EES 002 - 010,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Dork   Sahagian (P),,,,,,,
The Science of Environmental Issues - 43298 - EES 004 - 010,Class,11:10 am - 12:25 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,David J.  Anastasio (P),,,,,,,
The Science of Environmental Issues - 43299 - EES 004 - 011,Class,11:10 am - 12:25 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,David J.  Anastasio (P),,,,,,,
The Science of Environmental Issues - 43300 - EES 004 - 012,Class,1:10 pm - 2:25 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,David J.  Anastasio (P),,,,,,,
Exploring Earth - 43302 - EES 022 - 060,Class,1:10 pm - 4:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Frank J.  Pazzaglia (P),,,,,,,
Exploring Earth - 43303 - EES 022 - 061,Class,1:10 pm - 4:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Frank J.  Pazzaglia (P),,,,,,,
Exploring Earth - 43304 - EES 022 - 062,Class,1:10 pm - 4:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Frank J.  Pazzaglia (P),,,,,,,
Exploring Earth - 43305 - EES 022 - 063,Class,1:10 pm - 4:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Frank J.  Pazzaglia (P),,,,,,,
"Energy–Origins, Impacts, and Options - 48147 - EES 026 - 010",Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Peter K.  Zeitler (P),,,,,,,
Conservation and Biodiversity - 49576 - EES 028 - 010,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Robert K.  Booth (P),,,,,,,
Control of Nature - 49347 - EES 090 - 010,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Kenneth P.  Kodama (P),,,,,,,
Freshman Seminar - 47326 - EES 090 - 011,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Joan Miriam  Ramage Macdonald (P),,,,,,,
Freshman Supervised Internship in Earth and Environmental Sciences - 40726 - EES 093 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,David J.  Anastasio (P),,,,,,,
Earth Systems Science - 46541 - EES 100 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Benjamin S.  Felzer (P),Class Activity 1,1:10 pm - 4:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Benjamin S.  Felzer (P)
Planetary Astronomy - 41085 - EES 105 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Joshua A.  Pepper (P),Class Activity 1,12:10 pm - 1:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Joshua A.  Pepper (P)
Surficial Processes - 43327 - EES 115 - 110,Class,8:10 am - 9:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Frank J.  Pazzaglia (P),Class Activity 1,1:10 pm - 4:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Frank J.  Pazzaglia (P)
Ecology - 41242 - EES 152 - 110,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Robert K.  Booth (P),Class Activity 1,1:10 pm - 4:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Robert K.  Booth (P)
Terrestrial Ecosystems - 43328 - EES 250 - 110,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Zicheng   Yu (P),Class Activity 1,1:10 pm - 4:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Zicheng   Yu (P)
Supervised Internship in Earth and Environmental Sciences - 40730 - EES 293 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,David J.  Anastasio (P),,,,,,,
Supervised Internship in Earth and Environmental Sciences - 41828 - EES 293 - 011,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Gray E.  Bebout (P),,,,,,,
Supervised Internship in Earth and Environmental Sciences - 41829 - EES 293 - 012,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,David J.  Anastasio (P),,,,,,,
Supervised Internship in Earth and Environmental Sciences - 41830 - EES 293 - 013,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Edward B.  Evenson (P),,,,,,,
Supervised Internship in Earth and Environmental Sciences - 41831 - EES 293 - 014,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Bruce R.  Hargreaves (P),,,,,,,
Supervised Internship in Earth and Environmental Sciences - 41832 - EES 293 - 015,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Kenneth P.  Kodama (P),,,,,,,
Supervised Internship in Earth and Environmental Sciences - 41833 - EES 293 - 016,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Anne S.  Meltzer (P),,,,,,,
Supervised Internship in Earth and Environmental Sciences - 41834 - EES 293 - 017,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Donald P.  Morris (P),,,,,,,
Supervised Internship in Earth and Environmental Sciences - 41835 - EES 293 - 018,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Frank J.  Pazzaglia (P),,,,,,,
Supervised Internship in Earth and Environmental Sciences - 41836 - EES 293 - 019,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Stephen C.  Peters (P),,,,,,,
Supervised Internship in Earth and Environmental Sciences - 41837 - EES 293 - 020,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Robert K.  Booth (P),,,,,,,
Supervised Internship in Earth and Environmental Sciences - 41838 - EES 293 - 021,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Joan Miriam  Ramage Macdonald (P),,,,,,,
Supervised Internship in Earth and Environmental Sciences - 41839 - EES 293 - 022,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Zicheng   Yu (P),,,,,,,
Supervised Internship in Earth and Environmental Sciences - 41840 - EES 293 - 023,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Peter K.  Zeitler (P),,,,,,,
Supervised Internship in Earth and Environmental Sciences - 44623 - EES 293 - 024,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Dork   Sahagian (P),,,,,,,
Supervised Internship in Earth and Environmental Sciences - 46266 - EES 293 - 025,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Benjamin S.  Felzer (P),,,,,,,
Hydrogeology - 40188 - EES 316 - 110,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Stephen C.  Peters (P),Class Activity 1,1:10 pm - 4:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Stephen C.  Peters (P)
Hydrogeology - 43081 - EES 316 - 111,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Stephen C.  Peters (P),Class Activity 1,1:10 pm - 4:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Stephen C.  Peters (P)
Engineering Hydrology - 43158 - EES 320 - 010,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Richard N.  Weisman (P),,,,,,,
Limnology - 49348 - EES 352 - 010,Class,8:10 am - 9:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Donald P.  Morris (P),Class Activity 1,1:10 pm - 4:00 pm,MF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Donald P.  Morris (P)
