Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Principles of Economics - 40134 - ECO 001 - 110,Class,7:55 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Frank R.  Gunter (P),Class Activity 1,8:10 am - 9:00 am,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Frank R.  Gunter (P)
Principles of Economics - 40135 - ECO 001 - 111,Class,7:55 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Frank R.  Gunter (P),Class Activity 1,9:10 am - 10:00 am,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Frank R.  Gunter (P)
Principles of Economics - 40136 - ECO 001 - 112,Class,7:55 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Frank R.  Gunter (P),Class Activity 1,9:10 am - 10:00 am,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Frank R.  Gunter (P)
Principles of Economics - 40137 - ECO 001 - 113,Class,7:55 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Frank R.  Gunter (P),Class Activity 1,11:10 am - 12:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Frank R.  Gunter (P)
Principles of Economics - 40138 - ECO 001 - 114,Class,7:55 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Frank R.  Gunter (P),Class Activity 1,12:10 pm - 1:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Frank R.  Gunter (P)
Principles of Economics - 40139 - ECO 001 - 115,Class,7:55 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Frank R.  Gunter (P),Class Activity 1,1:10 pm - 2:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Frank R.  Gunter (P)
Principles of Economics - 40140 - ECO 001 - 116,Class,7:55 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Frank R.  Gunter (P),Class Activity 1,2:10 pm - 3:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Frank R.  Gunter (P)
Principles of Economics - 40141 - ECO 001 - 117,Class,7:55 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Frank R.  Gunter (P),Class Activity 1,2:10 pm - 3:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Frank R.  Gunter (P)
Principles of Economics - 40144 - ECO 001 - 210,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Frank R.  Gunter (P),Class Activity 1,8:10 am - 9:00 am,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Frank R.  Gunter (P)
Principles of Economics - 41292 - ECO 001 - 211,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Frank R.  Gunter (P),Class Activity 1,9:10 am - 10:00 am,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Frank R.  Gunter (P)
