Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Organizational Leadership and Change Management - 40170 - EDL 400 - 010,Class,4:10 pm - 7:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,George P.  White (P),,,,,,,
The Principalship I - 46957 - EDL 404 - 010,Class,4:10 pm - 7:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,James   Warfel (P),,,,,,,
The Principalship I - 47671 - EDL 404 - 011,Class,7:10 pm - 10:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Jon   Drescher (P),,,,,,,
The Principalship I - 49115 - EDL 404 - 012,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Full On line Class,Jon   Drescher (P),,,,,,,
The Principalship I - 48001 - EDL 404 - D10,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Full On line Class,Jon   Drescher (P),,,,,,,
The Principalship I - 49117 - EDL 404 - D11,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Full On line Class,Jon   Drescher (P),,,,,,,
Central Office Internship I - 48008 - EDL 408 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,"Mary Rita   Goodman (P), Louise E.  Donohue , James   Warfel ",,,,,,,
Principal Internship I - 46958 - EDL 414 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,"Mary Rita   Goodman (P), Louise E.  Donohue , James   Warfel ",,,,,,,
Principal Internship I - 47670 - EDL 414 - 011,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Full On line Class,Jon   Drescher (P),,,,,,,
Principal Internship I - 49118 - EDL 414 - 012,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Lecture,Jon   Drescher (P),,,,,,,
Principal Internship I - 48009 - EDL 414 - D10,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Internship,Teaching   Staff (P),,,,,,,
Principal Internship I - 49090 - EDL 414 - D11,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Full On line Class,Teaching   Staff (P),,,,,,,
Instructional Leadership - 49119 - EDL 421 - D10,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Full On line Class,Teaching   Staff (P),,,,,,,
Instructional Leadership - 49120 - EDL 421 - D11,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Full On line Class,Teaching   Staff (P),,,,,,,
Curriculum Management for the School Executive - 48983 - EDL 422 - 010,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Lecture,Robert J  Monson (P),,,,,,,
Leading Inclusive Learning Systems - 46963 - EDL 423 - 010,Class,4:10 pm - 7:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Floyd D.  Beachum (P),,,,,,,
Leadership: Self and Groups - 46964 - EDL 424 - 010,Class,4:10 pm - 7:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Louise E.  Donohue (P),,,,,,,
Leadership: Self and Groups - 49121 - EDL 424 - 011,Class,4:10 pm - 7:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Jon   Drescher (P),,,,,,,
