Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Introduction to Computer Engineering - 40109 - ECE 033 - 110,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Meghanad D.  Wagh (P),Class,1:10 pm - 3:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Meghanad D.  Wagh (P)
Introduction to Computer Engineering - 40110 - ECE 033 - 111,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Meghanad D.  Wagh (P),Class,1:10 pm - 3:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Meghanad D.  Wagh (P)
Introduction to Computer Engineering - 40111 - ECE 033 - 112,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Meghanad D.  Wagh (P),Class,1:10 pm - 3:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Meghanad D.  Wagh (P)
Principles of Electrical Engineering - 40115 - ECE 081 - 110,Class,8:10 am - 9:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,William Andrew  Best (P),Class,1:10 pm - 3:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,William Andrew  Best (P)
Principles of Electrical Engineering - 40116 - ECE 081 - 111,Class,8:10 am - 9:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,William Andrew  Best (P),Class,1:10 pm - 3:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,William Andrew  Best (P)
Principles of Electrical Engineering - 40117 - ECE 081 - 112,Class,8:10 am - 9:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,William Andrew  Best (P),Class,1:10 pm - 3:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,William Andrew  Best (P)
Principles of Electrical Engineering - 40118 - ECE 081 - 113,Class,8:10 am - 9:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,William Andrew  Best (P),Class,1:10 pm - 3:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,William Andrew  Best (P)
Signals and Systems - 46791 - ECE 108 - 110,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Chao   Zhou (P),Class,8:20 am - 9:10 am,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Chao   Zhou (P)
Signals and Systems - 46792 - ECE 108 - 111,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Chao   Zhou (P),Class,9:20 am - 10:10 am,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Chao   Zhou (P)
Signals and Systems - 46794 - ECE 108 - 112,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Chao   Zhou (P),Class,10:20 am - 11:10 am,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Chao   Zhou (P)
