Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Introduction to Engineering Practice - 48867 - ENGR 005 - 110,Class,12:10 pm - 1:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Keith M  Gardiner (P),Class Activity 1,1:10 pm - 4:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Keith M  Gardiner (P)
Introduction to Engineering Practice - 48868 - ENGR 005 - 111,Class,12:10 pm - 1:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Keith M  Gardiner (P),Class Activity 1,1:10 pm - 4:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Keith M  Gardiner (P)
Applied Engineering Computer Methods - 48859 - ENGR 010 - 010,Class,7:45 am - 9:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Lawrence R  Butler (P),,,,,,,
Applied Engineering Computer Methods - 48860 - ENGR 010 - 011,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Lawrence R  Butler (P),,,,,,,
Applied Engineering Computer Methods - 48861 - ENGR 010 - 012,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Seyhan   Ersoy (P),,,,,,,
Applied Engineering Computer Methods - 48862 - ENGR 010 - 013,Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Seyhan   Ersoy (P),,,,,,,
Applied Engineering Computer Methods - 48863 - ENGR 010 - 014,Class,7:55 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Lawrence R  Butler (P),,,,,,,
Applied Engineering Computer Methods - 48864 - ENGR 010 - 015,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Lawrence R  Butler (P),,,,,,,
Applied Engineering Computer Methods - 48865 - ENGR 010 - 016,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Lawrence R  Butler (P),,,,,,,
Applied Engineering Computer Methods - 48866 - ENGR 010 - 017,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Derya   Pamukcu (P),,,,,,,
Applied Engineering Computer Methods - 49063 - ENGR 010 - 018,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Derya   Pamukcu (P),,,,,,,
Directed Study - 47189 - ENGR 050 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Richard N.  Weisman (P),,,,,,,
Engineering Internship - 40769 - ENGR 160 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Gregory L.  Tonkay (P),,,,,,,
Engineering Co-op - 40649 - ENGR 200 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Field Work/Study,Kemal   Tuzla (P),,,,,,,
Integrated Product Development (IPD) II - 40858 - ENGR 212 - 010,Class,2:10 pm - 4:00 pm,WF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,John B.  Ochs (P),,,,,,,
Engineering Co-op for Graduate Students - 49042 - ENGR 400 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,John P.  Coulter (P),,,,,,,
Teaching/Presentation Skills - 47480 - ENGR 401 - 010,Class,2:30 pm - 4:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,John P.  Coulter (P),,,,,,,
Mathematical Methods in Engineering - 41289 - ENGR 452 - 010,Class,4:15 pm - 5:30 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Justin   Jaworski (P),,,,,,,
Thesis (Moc) - 40985 - ENGR 490 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,John P.  Coulter (P),,,,,,,
Dissertation (Moc) - 40981 - ENGR 499 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Dissertation,John P.  Coulter (P),,,,,,,
