Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Composition and Literature - 40679 - ENGL 001 - 010,Class,8:10 am - 9:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40189 - ENGL 001 - 011,Class,8:10 am - 9:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40190 - ENGL 001 - 012,Class,8:10 am - 9:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 45695 - ENGL 001 - 013,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 45696 - ENGL 001 - 014,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40192 - ENGL 001 - 015,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40193 - ENGL 001 - 016,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40194 - ENGL 001 - 017,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40195 - ENGL 001 - 018,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40197 - ENGL 001 - 020,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40198 - ENGL 001 - 021,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40199 - ENGL 001 - 022,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40201 - ENGL 001 - 024,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40202 - ENGL 001 - 025,Class,1:10 pm - 2:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40203 - ENGL 001 - 026,Class,1:10 pm - 2:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40204 - ENGL 001 - 027,Class,8:10 am - 9:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40205 - ENGL 001 - 028,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40207 - ENGL 001 - 030,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 41096 - ENGL 001 - 032,Class,7:55 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40680 - ENGL 001 - 033,Class,7:55 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40209 - ENGL 001 - 035,Class,7:55 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40210 - ENGL 001 - 036,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40211 - ENGL 001 - 037,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40212 - ENGL 001 - 038,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40213 - ENGL 001 - 039,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40214 - ENGL 001 - 040,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40215 - ENGL 001 - 041,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40216 - ENGL 001 - 042,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40217 - ENGL 001 - 043,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40218 - ENGL 001 - 044,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40219 - ENGL 001 - 045,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40220 - ENGL 001 - 046,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40221 - ENGL 001 - 047,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40222 - ENGL 001 - 048,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40223 - ENGL 001 - 049,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 40224 - ENGL 001 - 050,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 41414 - ENGL 001 - 051,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature - 47032 - ENGL 001 - 053,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature II - 40225 - ENGL 002 - 010,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature I for International Writers - 45183 - ENGL 003 - 010,Class,7:55 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature I for International Writers - 40227 - ENGL 003 - 011,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Jane F.  Desnouee (P),,,,,,,
Composition and Literature I for International Writers - 45473 - ENGL 003 - 012,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Candice J.  Quinones (P),,,,,,,
Composition and Literature I for International Writers - 46446 - ENGL 003 - 013,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,June L.  Rose (P),,,,,,,
Composition and Literature I for International Writers - 49038 - ENGL 003 - 014,Class,8:45 am - 10:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Elena   Reiss (P),,,,,,,
Composition and Literature I for International Writers - 49550 - ENGL 003 - 015,Class,10:45 am - 12:00 pm,TR,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Composition and Literature I for International Writers - 49551 - ENGL 003 - 016,Class,11:10 am - 12:25 pm,MW,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Literature Seminar for Freshmen - 40681 - ENGL 011 - 010,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Literature Seminar for Freshmen - 45186 - ENGL 011 - 011,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Literature Seminar for Freshmen - 40229 - ENGL 011 - 012,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Literature Seminar for Freshmen - 45187 - ENGL 011 - 013,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Barry M.  Kroll (P),,,,,,,
Literature Seminar for Freshmen - 41276 - ENGL 011 - 014,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Literature Seminar for Freshmen - 40960 - ENGL 011 - 015,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Mary C.  Foltz (P),,,,,,,
Literature Seminar for Freshmen - 44257 - ENGL 011 - 016,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Speech Communication for International Speakers of English - 47772 - ENGL 015 - 010,Class,1:10 pm - 3:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Jane F.  Desnouee (P),,,,,,,
Speech Communication for International Speakers of English - 47775 - ENGL 015 - 011,Class,1:10 pm - 3:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Candice J.  Quinones (P),,,,,,,
Speech Communication for International Speakers of English - 49039 - ENGL 015 - 012,Class,1:10 pm - 3:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Rita   DiFiore-Czipczer (P),,,,,,,
Speech Communication for International Speakers of English - 49552 - ENGL 015 - 013,Class,1:10 pm - 3:00 pm,MW,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Classical Epic - 49091 - ENGL 052 - 010,Class,12:10 pm - 1:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Barbara R.  Pavlock (P),,,,,,,
Dramatic Action - 40231 - ENGL 060 - 010,Class,10:10 am - 12:00 pm,MW,049  Zoellner Arts Center 220,"Aug 25, 2014 - Dec 05, 2014",Lecture,Augustine   Ripa (P),,,,,,,
Arguing as an Art of Peace - 43368 - ENGL 090 - 010,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Barry M.  Kroll (P),Class Activity 1,12:10 pm - 1:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Barry M.  Kroll (P)
They Came from Outer Space - 47243 - ENGL 090 - 011,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Edward J.  Gallagher (P),,,,,,,
Reading Jane Austen Now and Then - 48805 - ENGL 090 - 012,Class,12:45 pm - 2:00 pm,MW,035  Drown Hall 209,"Aug 25, 2014 - Dec 05, 2014",Lecture,Elizabeth A.  Dolan (P),,,,,,,
Working with Texts - 40232 - ENGL 100 - 010,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Lyndon   Dominique (P),,,,,,,
Love Factually - 49537 - ENGL 104 - 010,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Peter   Nagy (P),,,,,,,
"Viewing Mad Men:  Window, Mirror, Screen - 49539 - ENGL 104 - 011",Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Kristin   Handler (P),,,,,,,
Sensational Narrative of Illness and Medicine - 47244 - ENGL 115 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Catherine A.  Burton (P),,,,,,,
British Literature I - 40234 - ENGL 125 - 010,Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Lyndon   Dominique (P),,,,,,,
The Development of Theatre and Drama I - 40235 - ENGL 127 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Erica   Hoelscher (P),,,,,,,
Introduction to Writing Poetry - 42620 - ENGL 142 - 010,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Bobby Michael  Watts (P),,,,,,,
Introduction to Writing Poetry - 49102 - ENGL 142 - 011,Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Bobby Michael  Watts (P),,,,,,,
Introduction to Writing Fiction - 42621 - ENGL 144 - 010,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Amaranth - 41999 - ENGL 170 - 010,Class,12:10 pm - 1:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Independent Study - 40682 - ENGL 183 - 010,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Teaching   Staff (P),,,,,,,
Independent Study - 46380 - ENGL 183 - 011,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Teaching   Staff (P),,,,,,,
Independent Study - 47725 - ENGL 183 - 012,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Teaching   Staff (P),,,,,,,
Writing for the Internet - 45189 - ENGL 187 - 010,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Amardeep   Singh (P),,,,,,,
Taking Comics Seriously - 49095 - ENGL 189 - 011,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Jason Chad  Cash (P),,,,,,,
From Oral to Digital Storytelling - 48559 - ENGL 201 - 010,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Elizabeth   Fifer (P),,,,,,,
Special Topics in Writing:  Writing War - 45700 - ENGL 201 - 011,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Professional Internship - 41103 - ENGL 282 - 010,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Barry M.  Kroll (P),,,,,,,
Topics in Literature:  Showtime's Dexter: Cable is the New Novel - 49582 - ENGL 301 - 010,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Full On line Class,Dawn   Keetley (P),,,,,,,
Sex and Sexuality in Contemporary American Fiction - 49541 - ENGL 304 - 010,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Mary C.  Foltz (P),,,,,,,
Sex and Sexuality in Contemporary American Fiction - 49543 - ENGL 304 - 011,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Mary C.  Foltz (P),,,,,,,
