Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Entrepreneurial Communication for Creative Industries - 49586 - ENTP 098 - 010,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Introduction to Entrepreneurship - 42963 - ENTP 101 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Pasquale J.  Costa (P),,,,,,,
Introduction to Entrepreneurship - 47514 - ENTP 101 - 011,Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Pasquale J.  Costa (P),,,,,,,
Leadership and the Entrepreneurial Mindset - 49592 - ENTP 198 - 010,Class,7:10 pm - 10:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Entrepreneurship & Enterprise - 42964 - ENTP 201 - 010,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Dale F.  Falcinelli (P),,,,,,,
Social Entrepreneurship: How to Change the World - 47536 - ENTP 310 - 010,Class,7:10 pm - 10:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
The Garage: Launching Entrepreneurial Ventures I - 47515 - ENTP 311 - 010,Class,7:10 pm - 10:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
The Garage: Launching Entrepreneurial Ventures II - 43899 - ENTP 312 - 010,Class,7:10 pm - 10:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Small Business Consulting - 49425 - ENTP 314 - 010,Class,7:10 pm - 10:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Independent Study in Entrepreneurship or Social Ventures - 48948 - ENTP 371 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Teaching   Staff (P),,,,,,,
Special Topics in Entrepreneurship or Social Ventures - 48949 - ENTP 372 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Teaching   Staff (P),,,,,,,
