Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Introduction to Environmental Science - 45778 - ES 002 - 010,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Dork   Sahagian (P),,,,,,,
The Science of Environmental Issues - 44510 - ES 004 - 010,Class,11:10 am - 12:25 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,David J.  Anastasio (P),,,,,,,
The Science of Environmental Issues - 44511 - ES 004 - 011,Class,11:10 am - 12:25 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,David J.  Anastasio (P),,,,,,,
The Science of Environmental Issues - 44512 - ES 004 - 012,Class,1:10 pm - 2:25 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,David J.  Anastasio (P),,,,,,,
Lehigh Earth Observatory Field/Laboratory Internship - 47968 - ES 093 - 010,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Internship,Teaching   Staff (P),,,,,,,
Lehigh Earth Observatory Field/Laboratory Internship - 47969 - ES 093 - 011,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Internship,Breena   Holland (P),,,,,,,
Lehigh Earth Observatory Field/Laboratory Internship - 47971 - ES 093 - 012,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Internship,Dork   Sahagian (P),,,,,,,
Lehigh Earth Observatory Field/Laboratory Internship - 47972 - ES 093 - 013,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Internship,Derick G.  Brown (P),,,,,,,
Lehigh Earth Observatory Field/Laboratory Internship - 47973 - ES 093 - 014,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Internship,Cameron   Wesson (P),,,,,,,
Lehigh Earth Observatory Field/Laboratory Internship - 47974 - ES 093 - 015,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Internship,Albert H.  Wurth (P),,,,,,,
Lehigh Earth Observatory Field/Laboratory Internship - 47975 - ES 093 - 016,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Internship,Stephen H.  Cutcliffe (P),,,,,,,
Lehigh Earth Observatory Field/Laboratory Internship - 47976 - ES 093 - 017,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Internship,Bruce R.  Hargreaves (P),,,,,,,
Lehigh Earth Observatory Field/Laboratory Internship - 47977 - ES 093 - 018,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Internship,Benjamin S.  Felzer (P),,,,,,,
Lehigh Earth Observatory Field/Laboratory Internship - 47978 - ES 093 - 019,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Internship,Donald P.  Morris (P),,,,,,,
Lehigh Earth Observatory Field/Laboratory Internship - 47980 - ES 093 - 021,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Internship,Richard N.  Weisman (P),,,,,,,
Lehigh Earth Observatory Field/Laboratory Internship - 47981 - ES 093 - 022,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Internship,Frank J.  Pazzaglia (P),,,,,,,
Earth Systems Science - 48607 - ES 100 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Benjamin S.  Felzer (P),Class Activity 1,1:10 pm - 4:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Benjamin S.  Felzer (P)
Environmental Policy and Planning - 43363 - ES 105 - 010,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Breena   Holland (P),,,,,,,
Environment and Culture - 47982 - ES 121 - 010,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,David   Casagrande (P),,,,,,,
Sustainability in Action I - 48984 - ES 123 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Albert H.  Wurth (P),,,,,,,
"Environment, the Public and the Mass Media - 46353 - ES 125 - 010",Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Sharon M.  Friedman (P),,,,,,,
Internship - 47984 - ES 131 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Teaching   Staff (P),,,,,,,
Internship - 47991 - ES 131 - 011,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Breena   Holland (P),,,,,,,
Internship - 47992 - ES 131 - 012,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Derick G.  Brown (P),,,,,,,
Internship - 47993 - ES 131 - 013,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Dork   Sahagian (P),,,,,,,
Internship - 47994 - ES 131 - 014,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Cameron   Wesson (P),,,,,,,
Internship - 47995 - ES 131 - 015,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Albert H.  Wurth (P),,,,,,,
Internship - 47996 - ES 131 - 016,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Stephen H.  Cutcliffe (P),,,,,,,
Internship - 47997 - ES 131 - 017,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Bruce R.  Hargreaves (P),,,,,,,
Internship - 47985 - ES 131 - 018,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Benjamin S.  Felzer (P),,,,,,,
Internship - 47986 - ES 131 - 019,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Donald P.  Morris (P),,,,,,,
Internship - 47987 - ES 131 - 020,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,David   Casagrande (P),,,,,,,
Internship - 47988 - ES 131 - 021,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Richard N.  Weisman (P),,,,,,,
Internship - 47989 - ES 131 - 022,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Frank J.  Pazzaglia (P),,,,,,,
Internship - 47990 - ES 131 - 023,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Alec M.  Bodzin (P),,,,,,,
Internship - 47998 - ES 131 - 024,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Sharon M.  Friedman (P),,,,,,,
Independent Study - 47999 - ES 181 - 010,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Teaching   Staff (P),,,,,,,
Independent Study - 48012 - ES 181 - 011,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Breena   Holland (P),,,,,,,
Independent Study - 48000 - ES 181 - 012,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Derick G.  Brown (P),,,,,,,
Independent Study - 48002 - ES 181 - 014,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Cameron   Wesson (P),,,,,,,
Independent Study - 48003 - ES 181 - 015,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Albert H.  Wurth (P),,,,,,,
Independent Study - 48004 - ES 181 - 016,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Stephen H.  Cutcliffe (P),,,,,,,
Independent Study - 48006 - ES 181 - 018,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Benjamin S.  Felzer (P),,,,,,,
Independent Study - 48013 - ES 181 - 020,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Independent Study,David   Casagrande (P),,,,,,,
Independent Study - 48015 - ES 181 - 021,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Richard N.  Weisman (P),,,,,,,
Independent Study - 48016 - ES 181 - 023,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Alec M.  Bodzin (P),,,,,,,
Independent Study - 48007 - ES 181 - 024,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Sharon M.  Friedman (P),,,,,,,
