Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Introduction to Finance - 44080 - FIN 125 - 110,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Stephen G.  Buell (P), Cheng   Wang ",Class Activity 1,11:10 am - 12:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Stephen G.  Buell (P), Cheng   Wang "
Introduction to Finance - 44081 - FIN 125 - 111,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Stephen G.  Buell (P), Xiaohui   Guo ",Class Activity 1,9:10 am - 10:00 am,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Stephen G.  Buell (P), Xiaohui   Guo "
Introduction to Finance - 44082 - FIN 125 - 112,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Stephen G.  Buell (P),Class Activity 1,10:10 am - 11:00 am,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Stephen G.  Buell (P)
Introduction to Finance - 44083 - FIN 125 - 113,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Stephen G.  Buell (P),Class Activity 1,11:10 am - 12:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Stephen G.  Buell (P)
Introduction to Finance - 44084 - FIN 125 - 114,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Stephen G.  Buell (P),Class Activity 1,12:10 pm - 1:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Stephen G.  Buell (P)
Introduction to Finance - 44085 - FIN 125 - 115,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Stephen G.  Buell (P), Cheng   Wang ",Class Activity 1,1:10 pm - 2:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Stephen G.  Buell (P), Cheng   Wang "
Introduction to Finance - 44086 - FIN 125 - 116,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Stephen G.  Buell (P), Cheng   Wang ",Class Activity 1,2:10 pm - 3:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Stephen G.  Buell (P), Cheng   Wang "
Introduction to Finance - 44087 - FIN 125 - 117,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Stephen G.  Buell (P),Class Activity 1,12:10 pm - 1:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Stephen G.  Buell (P)
Introduction to Finance - 44088 - FIN 125 - 210,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Stephen G.  Buell (P), Cheng   Wang ",Class Activity 1,11:10 am - 12:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Stephen G.  Buell (P), Cheng   Wang "
Introduction to Finance - 44089 - FIN 125 - 211,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Stephen G.  Buell (P), Xiaohui   Guo ",Class Activity 1,9:10 am - 10:00 am,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Stephen G.  Buell (P), Xiaohui   Guo "
Introduction to Finance - 44090 - FIN 125 - 212,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Stephen G.  Buell (P), Cheng   Wang ",Class Activity 1,10:10 am - 11:00 am,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Stephen G.  Buell (P), Cheng   Wang "
Introduction to Finance - 44091 - FIN 125 - 213,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Stephen G.  Buell (P), Xiaohui   Guo ",Class Activity 1,11:10 am - 12:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Stephen G.  Buell (P), Xiaohui   Guo "
Introduction to Finance - 44092 - FIN 125 - 214,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Stephen G.  Buell (P),Class Activity 1,12:10 pm - 1:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Stephen G.  Buell (P)
Introduction to Finance - 44093 - FIN 125 - 215,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Stephen G.  Buell (P), Cheng   Wang ",Class Activity 1,1:10 pm - 2:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Stephen G.  Buell (P), Cheng   Wang "
Introduction to Finance - 44094 - FIN 125 - 216,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Stephen G.  Buell (P), Cheng   Wang ",Class Activity 1,2:10 pm - 3:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Stephen G.  Buell (P), Cheng   Wang "
Introduction to Finance - 44095 - FIN 125 - 217,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Stephen G.  Buell (P),Class Activity 1,12:10 pm - 1:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Stephen G.  Buell (P)
Finance Internship I - 41778 - FIN 273 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Richard J.  Kish (P),,,,,,,
