Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Elementary French I - 40255 - FREN 001 - 110,Class,2:10 pm - 3:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P),Class Activity 1,1:10 pm - 2:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P)
Elementary French I - 42840 - FREN 001 - 111,Class,2:10 pm - 3:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P),Class Activity 1,2:10 pm - 3:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P)
Elementary French I - 42841 - FREN 001 - 210,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P),Class Activity 1,2:10 pm - 3:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P)
Elementary French I - 42842 - FREN 001 - 211,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P),Class Activity 1,1:10 pm - 2:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P)
Intermediate French I - 41457 - FREN 011 - 010,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Marie-Sophie   Armstrong (P),,,,,,,
Intermediate French I - 42844 - FREN 011 - 011,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Advanced Written French - 40257 - FREN 143 - 010,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Marie-Helene   Chabut (P),,,,,,,
Intro to Literary Analysis - 48712 - FREN 197 - 010,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Recitation,Marie-Sophie   Armstrong (P),,,,,,,
The Outsider In French Fiction - 49489 - FREN 324 - 010,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Marie-Helene   Chabut (P),,,,,,,
French Readings - 46374 - FREN 369 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Marie-Sophie   Armstrong (P),,,,,,,
French Internship - 46375 - FREN 370 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Marie-Sophie   Armstrong (P),,,,,,,
French Independent Study - 46376 - FREN 371 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Marie-Sophie   Armstrong (P),,,,,,,
