Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Introduction to Global Studies - 45165 - GS 001 - 010,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,John F.  Lule (P),,,,,,,
Food and Sacred - 49317 - GS 013 - 010,Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Lenore E. Chava  Weissler (P),,,,,,,
Histories of Globalization - 48580 - GS 101 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,John   Savage (P),,,,,,,
Cultural Studies and Globalization - 47350 - GS 106 - 010,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Global Contemporary: Recent Art Movements Around the World - 49507 - GS 221 - 010,Class,2:35 pm - 3:50 pm,WF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Susan E.  Kart (P),,,,,,,
Globalization and Religion - 49344 - GS 244 - 010,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Robert Thomas  Rozehnal (P),,,,,,,
Directed Readings - 45206 - GS 390 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,John F.  Lule (P),,,,,,,
Directed Research - 45207 - GS 391 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,John F.  Lule (P),,,,,,,
Internship in Global Studies - 46265 - GS 392 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,John F.  Lule (P),,,,,,,
Honors Thesis - 45266 - GS 394 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,John F.  Lule (P),,,,,,,
