Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Financial Reporting for Managers and Investors - 43119 - GBUS 401 - 010,Class,6:00 pm - 9:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Yunfang Y.  Lu (P),,,,,,,
Financial Reporting for Managers and Investors - 46632 - GBUS 401 - D10,Class,6:00 pm - 9:00 pm,R,037  Rauch Business Center 171,"Aug 25, 2014 - Dec 05, 2014",Classroom Live Broadcast,Yunfang Y.  Lu (P),,,,,,,
Financial Management - 41506 - GBUS 419 - 010,Class,6:00 pm - 9:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Jesus M.  Salas (P),,,,,,,
Investments - 40259 - GBUS 420 - 010,Class,6:00 pm - 9:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Jesus M.  Salas (P),,,,,,,
Derivatives and Risk Management - 42233 - GBUS 422 - 010,Class,6:00 pm - 9:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Michael B  Imerman (P),,,,,,,
Negotiations - 46714 - GBUS 447 - 010,Class,6:00 pm - 9:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Liuba Y.  Belkin (P),,,,,,,
Leadership - 47552 - GBUS 448 - 010,Class,6:00 pm - 9:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Naomi B.  Rothman (P),,,,,,,
Transportation and Logistics Management - 49388 - GBUS 453 - 010,Class,6:00 pm - 9:00 pm,R,037  Rauch Business Center 161,"Aug 25, 2014 - Dec 05, 2014",Lecture,Zach G.  Zacharia (P),,,,,,,
Transportation and Logistics Management - 46633 - GBUS 453 - D10,Class,6:00 pm - 9:00 pm,R,037  Rauch Business Center 161,"Aug 25, 2014 - Dec 05, 2014",Classroom Live Broadcast,Zach G.  Zacharia (P),,,,,,,
International Finance - 42234 - GBUS 473 - 010,Class,6:00 pm - 9:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Paul   Brockman (P),,,,,,,
Global Marketing - 49442 - GBUS 475 - 010,Class,6:00 pm - 9:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Beibei   Dong (P),,,,,,,
Independent Study - 40262 - GBUS 492 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Teaching   Staff (P),,,,,,,
Independent Study - 48454 - GBUS 492 - 011,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Teaching   Staff (P),,,,,,,
Special Topics:  Fundamentals of Internal Auditing - 49430 - GBUS 492 - 012,Class,6:10 pm - 9:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Dissertation - 40974 - GBUS 499 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Dissertation,Andrew John  Ward (P),,,,,,,
