Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Introduction to the Organization and its Environment - 45088 - MBA 401 - 010,Class,6:00 pm - 9:30 pm,M,037  Rauch Business Center 171,"Aug 25, 2014 - Oct 20, 2014",Lecture,Andrew John  Ward (P),,,,,,,
Introduction to the Organization and its Environment - 48314 - MBA 401 - 011,Class,6:00 pm - 9:30 pm,T,TBA,"Aug 26, 2014 - Oct 21, 2014",Lecture,Andrew John  Ward (P),,,,,,,
Introduction to the Organization and its Environment - 45090 - MBA 401 - D10,Class,6:00 pm - 9:30 pm,M,037  Rauch Business Center 171,"Aug 25, 2014 - Oct 20, 2014",Classroom Live Broadcast,Andrew John  Ward (P),,,,,,,
Managing Financial and Physical Resources - 40387 - MBA 402 - 010,Class,6:00 pm - 9:30 pm,W,037  Rauch Business Center 171,"Aug 25, 2014 - Dec 05, 2014",Lecture,"David J.  Hinrichs (P), Samuel C.  Weaver ",,,,,,,
Managing Financial and Physical Resources - 48897 - MBA 402 - D10,Class,6:00 pm - 9:30 pm,W,037  Rauch Business Center 171,"Aug 25, 2014 - Dec 05, 2014",Classroom Live Broadcast,"Samuel C.  Weaver (P), David J.  Hinrichs ",,,,,,,
Managing Information - 40388 - MBA 403 - 010,Class,6:00 pm - 9:30 pm,M,037  Rauch Business Center 161,"Aug 25, 2014 - Dec 05, 2014",Lecture,"David J.  Hinrichs (P), Yuliang   Yao ",,,,,,,
Managing Information - 45780 - MBA 403 - D10,Class,6:00 pm - 9:30 pm,M,037  Rauch Business Center 161,"Aug 25, 2014 - Dec 05, 2014",Classroom Live Broadcast,"David J.  Hinrichs (P), Yuliang   Yao ",,,,,,,
Managing Products and Services - 44593 - MBA 404 - 010,Class,6:00 pm - 9:30 pm,T,037  Rauch Business Center 171,"Aug 25, 2014 - Dec 05, 2014",Lecture,"Nada R.  Sanders (P), Steven L.  Savino ",,,,,,,
Managing Products and Services - 45960 - MBA 404 - D10,Class,6:00 pm - 9:30 pm,T,037  Rauch Business Center 171,"Aug 25, 2014 - Dec 05, 2014",Classroom Live Broadcast,"Nada R.  Sanders (P), Steven L.  Savino ",,,,,,,
Managing People - 40391 - MBA 405 - 010,Class,6:00 pm - 9:30 pm,T,037  Rauch Business Center 161,"Aug 25, 2014 - Dec 05, 2014",Lecture,Douglas M.  Mahony (P),,,,,,,
Managing People - 49400 - MBA 405 - D10,Class,6:00 pm - 9:30 pm,T,037  Rauch Business Center 161,"Aug 25, 2014 - Dec 05, 2014",Classroom Live Broadcast,Douglas M.  Mahony (P),,,,,,,
Integrative Experience - 40733 - MBA 406 - 010,Class,6:00 pm - 9:00 pm,W,037  Rauch Business Center 161,"Aug 25, 2014 - Dec 05, 2014",Lecture,William   Forster (P),,,,,,,
Integrative Experience - 48317 - MBA 406 - D10,Class,6:00 pm - 9:00 pm,W,037  Rauch Business Center 161,"Aug 25, 2014 - Dec 05, 2014",Classroom Live Broadcast,William   Forster (P),,,,,,,
