Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Freshman Seminar - 48911 - HMS 090 - 010,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,James R.  McIntosh (P),,,,,,,
Sensational Narrative of Illness and Medicine - 47245 - HMS 115 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Catherine A.  Burton (P),,,,,,,
Abnormal Psychology - 48686 - HMS 138 - 010,Class,7:10 pm - 8:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Timothy A.  Lomauro (P),,,,,,,
Medicine and Society - 45983 - HMS 160 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Judith N.  Lasker (P),,,,,,,
Bioethics and the Law - 49557 - HMS 195 - 010,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Full On line Class,Dena S  Davis (P),,,,,,,
Food&Health in Modern America - 49398 - HMS 196 - 010,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Breastfeeding & Public Health - 49499 - HMS 197 - 010,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Colleen Michele  Martell (P),,,,,,,
Independent Study - 46545 - HMS 291 - 010,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Elizabeth A.  Dolan (P),,,,,,,
Health Psychology - 45984 - HMS 327 - 010,Class,7:10 pm - 10:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Timothy A.  Lomauro (P),,,,,,,
Women and Health - 48640 - HMS 341 - 010,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Karen M.  Hicks (P),,,,,,,
Health Care Reasoning and Decision-Making - 49193 - HMS 344 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Jessecae   Marsh (P),,,,,,,
Social Hist of Med in Early Eu - 49030 - HMS 397 - 010,Class,1:10 pm - 4:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Michelle   DiMeo (P),,,,,,,
Cult Contxt PregnancyChildbrth - 49501 - HMS 398 - 010,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Rita M.  Jones (P),,,,,,,
