Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
African Civilization - 47179 - HIST 005 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Kwame   Essien (P),,,,,,,
Technology in America's Industrial Age - 49389 - HIST 007 - 010,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,John Kenly  Smith (P),,,,,,,
Survey of Europe to 1648 - 40266 - HIST 011 - 110,Class,8:10 am - 9:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Nathan Riley  Carpenter (P),Class Activity 1,10:10 am - 11:00 am,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Nathan Riley  Carpenter (P)
Survey of Europe to 1648 - 41298 - HIST 011 - 111,Class,8:10 am - 9:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Nathan Riley  Carpenter (P),Class Activity 1,11:10 am - 12:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Nathan Riley  Carpenter (P)
English History - 49390 - HIST 015 - 010,Class,7:55 am - 9:20 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,William   Bulman (P),,,,,,,
Greek History - 45047 - HIST 021 - 010,Class,2:10 pm - 3:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
United States to 1865 - 47184 - HIST 041 - 110,Class,1:10 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Monica   Najar (P),Class Activity 1,9:10 am - 10:00 am,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Monica   Najar (P)
United States to 1865 - 48183 - HIST 041 - 111,Class,1:10 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Monica   Najar (P),Class Activity 1,10:10 am - 11:00 am,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Monica   Najar (P)
United States Since 1939 - 49391 - HIST 043 - 010,Class,11:10 am - 12:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,John   Pettegrew (P),Class Activity 1,11:10 am - 12:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,John   Pettegrew (P)
United States Since 1939 - 49395 - HIST 043 - 011,Class,11:10 am - 12:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,John   Pettegrew (P),Class Activity 1,10:10 am - 11:00 am,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,John   Pettegrew (P)
United States Since 1939 - 49396 - HIST 043 - 012,Class,11:10 am - 12:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,John   Pettegrew (P),Class Activity 1,12:10 pm - 1:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,John   Pettegrew (P)
United States Since 1939 - 49397 - HIST 043 - 013,Class,11:10 am - 12:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,John   Pettegrew (P),Class Activity 1,1:10 pm - 2:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,John   Pettegrew (P)
History of Latin America - 48578 - HIST 050 - 010,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Maria Barbara   Zepeda Cortes (P),,,,,,,
FirstYear Seminar in History - 45091 - HIST 090 - 010,Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Maria Barbara   Zepeda Cortes (P),,,,,,,
FirstYear Seminar in History - 46554 - HIST 090 - 011,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Michelle   LeMaster (P),,,,,,,
Histories of Globalization - 48579 - HIST 101 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,John   Savage (P),,,,,,,
ProgressiveAmer&GlobalHumRight - 49392 - HIST 104 - 010,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
American Military History - 48581 - HIST 110 - 010,Class,12:45 pm - 2:00 pm,WF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Gregg Steven  Pearson (P),,,,,,,
Women in America - 48188 - HIST 124 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Gail A.  Cooper (P),,,,,,,
The Holocaust: History and Meaning - 46492 - HIST 154 - 010,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Nitzan   Lebovic (P),,,,,,,
The Last Samurai - 49393 - HIST 170 - 010,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Gail A.  Cooper (P),,,,,,,
Food& Health in Modern America - 49394 - HIST 196 - 010,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
"Sci, Tech & Amer Constitution - 49401 - HIST 197 - 010",Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Gregory C.  Kunkle (P),,,,,,,
Hist ResTop:Revolutions in Comparative Perspective - 41110 - HIST 202 - 010,Class,1:10 pm - 4:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,William   Bulman (P),,,,,,,
Internship in Public History - 45522 - HIST 306 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Kimberley   Carrell-Smith (P),,,,,,,
American Environmental History - 49403 - HIST 315 - 010,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Stephen H.  Cutcliffe (P),,,,,,,
American Environmental History - 49405 - HIST 315 - 011,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Stephen H.  Cutcliffe (P),,,,,,,
History and Community Memory - 49406 - HIST 337 - 010,Class,1:10 pm - 4:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Kimberley   Carrell-Smith (P),,,,,,,
History and Community Memory - 49407 - HIST 337 - 011,Class,1:10 pm - 4:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Kimberley   Carrell-Smith (P),,,,,,,
Techniques in Public History - 44356 - HIST 338 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Kimberley   Carrell-Smith (P),,,,,,,
“The Gangs of New York” - 49408 - HIST 351 - 010,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Roger D.  Simon (P),,,,,,,
“The Gangs of New York” - 49409 - HIST 351 - 011,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Roger D.  Simon (P),,,,,,,
Independent Study - 40636 - HIST 371 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Maria Barbara   Zepeda Cortes (P),,,,,,,
Independent Study - 43494 - HIST 371 - 011,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Kimberley   Carrell-Smith (P),,,,,,,
Independent Study - 43495 - HIST 371 - 012,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Gail A.  Cooper (P),,,,,,,
Independent Study - 43496 - HIST 371 - 013,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Stephen H.  Cutcliffe (P),,,,,,,
Independent Study - 43497 - HIST 371 - 014,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Nitzan   Lebovic (P),,,,,,,
Independent Study - 43498 - HIST 371 - 015,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Michelle   LeMaster (P),,,,,,,
Independent Study - 48227 - HIST 371 - 016,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,William   Bulman (P),,,,,,,
Independent Study - 43500 - HIST 371 - 017,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Monica   Najar (P),,,,,,,
Independent Study - 43501 - HIST 371 - 018,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,John   Pettegrew (P),,,,,,,
Independent Study - 48593 - HIST 371 - 020,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Kwame   Essien (P),,,,,,,
Independent Study - 44029 - HIST 371 - 021,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,John   Savage (P),,,,,,,
Independent Study - 44770 - HIST 371 - 023,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Roger D.  Simon (P),,,,,,,
Independent Study - 44792 - HIST 371 - 024,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,John Kenly  Smith (P),,,,,,,
Honors Thesis in History - 40637 - HIST 391 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Maria Barbara   Zepeda Cortes (P),,,,,,,
Honors Thesis in History - 44403 - HIST 391 - 011,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Kimberley   Carrell-Smith (P),,,,,,,
Honors Thesis in History - 44406 - HIST 391 - 012,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Gail A.  Cooper (P),,,,,,,
Honors Thesis in History - 44407 - HIST 391 - 013,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Stephen H.  Cutcliffe (P),,,,,,,
Honors Thesis in History - 44409 - HIST 391 - 014,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Nitzan   Lebovic (P),,,,,,,
Honors Thesis in History - 44411 - HIST 391 - 015,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Michelle   LeMaster (P),,,,,,,
Honors Thesis in History - 48228 - HIST 391 - 016,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,William   Bulman (P),,,,,,,
Honors Thesis in History - 44413 - HIST 391 - 017,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Monica   Najar (P),,,,,,,
Honors Thesis in History - 44415 - HIST 391 - 018,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,John   Pettegrew (P),,,,,,,
Honors Thesis in History - 48596 - HIST 391 - 020,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Kwame   Essien (P),,,,,,,
Honors Thesis in History - 44418 - HIST 391 - 021,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,John   Savage (P),,,,,,,
Honors Thesis in History - 44772 - HIST 391 - 023,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Roger D.  Simon (P),,,,,,,
Honors Thesis in History - 44794 - HIST 391 - 024,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,John Kenly  Smith (P),,,,,,,
Honors Thesis in History - 40872 - HIST 392 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Maria Barbara   Zepeda Cortes (P),,,,,,,
Honors Thesis in History - 44431 - HIST 392 - 011,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Kimberley   Carrell-Smith (P),,,,,,,
Honors Thesis in History - 44432 - HIST 392 - 012,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Gail A.  Cooper (P),,,,,,,
Honors Thesis in History - 44437 - HIST 392 - 013,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Stephen H.  Cutcliffe (P),,,,,,,
