Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Engineering Probability & Statistics - 49276 - ISE 111 - 010,Class,8:10 am - 9:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Robert H.  Storer (P),,,,,,,
Engineering Probabilities & Statistics - 49278 - ISE 111 - 011,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Robert H.  Storer (P),,,,,,,
Computer Graphics - 49281 - ISE 112 - 060,Class,1:10 pm - 4:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Emory W.  Zimmers (P),,,,,,,
Computer Graphics - 49283 - ISE 112 - 061,Class,1:10 pm - 4:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Emory W.  Zimmers (P),,,,,,,
Computer Graphics - 49284 - ISE 112 - 062,Class,1:10 pm - 4:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Emory W.  Zimmers (P),,,,,,,
Applied Engineering Statistics - 49287 - ISE 121 - 010,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Senior Project - 49290 - ISE 154 - 010,Class,12:10 pm - 1:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Emory W.  Zimmers (P),Class Activity 1,1:10 pm - 4:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Emory W.  Zimmers (P)
Senior Thesis I - 49292 - ISE 155 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,George R.  Wilson (P),,,,,,,
Senior Thesis II - 49293 - ISE 156 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,George R.  Wilson (P),,,,,,,
Fundamentals Of Modern Manufacturing - 49294 - ISE 215 - 010,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Gregory L.  Tonkay (P),,,,,,,
Manufacturing Laboratory - 49295 - ISE 216 - 060,Class,1:10 pm - 4:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,"Gregory L.  Tonkay (P), Miao   Bai ",,,,,,,
Manufacturing Laboratory - 49296 - ISE 216 - 061,Class,1:10 pm - 4:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,"Gregory L.  Tonkay (P), Miao   Bai ",,,,,,,
Informational Systems Analysis & Design - 49297 - ISE 224 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Louis J.  Plebani (P),,,,,,,
