Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Introduction to World Politics - 40277 - IR 010 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Arman   Grigoryan (P),,,,,,,
European International Relations - 48452 - IR 056 - 010,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Elizabeth   Radziszewski (P),,,,,,,
East Asian International Relations - 49258 - IR 061 - 010,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Yinan   He (P),,,,,,,
Freshman Seminar - 48289 - IR 090 - 010,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Elizabeth   Radziszewski (P),,,,,,,
PoliticalEconomy of Corruption - 49259 - IR 098 - 010,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Theories of International Relations - 44256 - IR 105 - 010,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Arman   Grigoryan (P),,,,,,,
International Political Economy - 40278 - IR 125 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
International Law - 48290 - IR 142 - 010,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,John   Gillroy (P),,,,,,,
Great Power Politics - 44880 - IR 234 - 010,Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Kevin   Narizny (P),,,,,,,
Intervention - 48334 - IR 335 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Chaim D.  Kaufmann (P),,,,,,,
Democratization - 46584 - IR 345 - 010,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Kevin   Narizny (P),,,,,,,
Honors Thesis in International Relations - 40670 - IR 388 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Chaim D.  Kaufmann (P),,,,,,,
Honors Thesis in International Relations - 48498 - IR 388 - 011,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Arman   Grigoryan (P),,,,,,,
Honors Project - 44854 - IR 389 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Chaim D.  Kaufmann (P),,,,,,,
Readings in International Relations - 40671 - IR 390 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Chaim D.  Kaufmann (P),,,,,,,
Internship in International Relations - 41382 - IR 391 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Chaim D.  Kaufmann (P),,,,,,,
Internship in International Relations - 48507 - IR 391 - 011,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Kevin   Narizny (P),,,,,,,
Independent Study - 42690 - IR 392 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Kevin   Narizny (P),,,,,,,
Independent Study - 48506 - IR 392 - 011,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Chaim D.  Kaufmann (P),,,,,,,
Seminar in International Relations - 48294 - IR 393 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Kevin   Narizny (P),,,,,,,
Special Topics in International Relations - 40772 - IR 394 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Chaim D.  Kaufmann (P),,,,,,,
