Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Brown and White - 40279 - JOUR 001 - 010,Class,6:10 pm - 7:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Matthew   Veto (P),,,,,,,
Brown and White - 40280 - JOUR 002 - 010,Class,7:10 pm - 8:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Matthew   Veto (P),,,,,,,
Brown and White - 40281 - JOUR 003 - 010,Class,7:10 pm - 8:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Matthew   Veto (P),,,,,,,
Brown and White - 40282 - JOUR 004 - 010,Class,7:10 pm - 8:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Matthew   Veto (P),,,,,,,
Brown and White - 40283 - JOUR 005 - 010,Class,7:10 pm - 8:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Matthew   Veto (P),,,,,,,
Brown and White - 40284 - JOUR 006 - 010,Class,7:10 pm - 8:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Matthew   Veto (P),,,,,,,
Brown and White - 40285 - JOUR 007 - 010,Class,7:10 pm - 8:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Matthew   Veto (P),,,,,,,
Brown and White - 40286 - JOUR 008 - 010,Class,7:10 pm - 8:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Matthew   Veto (P),,,,,,,
Brown and White Photography - 43161 - JOUR 009 - 010,Class,6:10 pm - 7:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Matthew   Veto (P),,,,,,,
Brown and White - 40287 - JOUR 010 - 010,Class,8:10 pm - 9:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Matthew   Veto (P),,,,,,,
Brown and White - 46351 - JOUR 010 - 011,Class,8:10 pm - 9:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Matthew   Veto (P),,,,,,,
Brown and White Videography - 46356 - JOUR 012 - 010,Class,6:10 pm - 7:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Matthew   Veto (P),,,,,,,
Writing for the Media - 47089 - JOUR 021 - 010,Class,9:10 am - 10:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,William R.  White (P),Class Activity 1,1:10 pm - 4:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,William R.  White (P)
Editing - 47091 - JOUR 023 - 010,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Kathleen K.  Olson (P),,,,,,,
Visual Communication - 47092 - JOUR 024 - 010,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Jayeon   Lee (P),,,,,,,
Media Ethics And Law - 49104 - JOUR 122 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Kathleen K.  Olson (P),,,,,,,
Politics of Science - 45881 - JOUR 124 - 010,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Sharon M.  Friedman (P),,,,,,,
"Environment, the Public and the Mass Media - 46352 - JOUR 125 - 010",Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Sharon M.  Friedman (P),,,,,,,
Multimedia Storytelling - 48569 - JOUR 230 - 010,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Jeremy J.  Littau (P),,,,,,,
