Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Introduction to Law - 44079 - LAW 101 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Patrick F.  McCormick (P),,,,,,,
Legal Environment of Business - 40302 - LAW 201 - 010,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Legal Environment of Business - 40303 - LAW 201 - 011,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,George A.  Nation (P),,,,,,,
Legal Environment of Business - 40304 - LAW 201 - 012,Class,1:10 pm - 2:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Legal Environment of Business - 40305 - LAW 201 - 013,Class,2:10 pm - 3:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Legal Environment of Business - 41239 - LAW 201 - 014,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Patrick F.  McCormick (P),,,,,,,
Legal Environment of Business - 41773 - LAW 201 - 015,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Matthew A.  Melone (P),,,,,,,
Legal Environment of Business - 45897 - LAW 201 - 016,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Matthew A.  Melone (P),,,,,,,
Business Law - 40306 - LAW 202 - 010,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,George A.  Nation (P),,,,,,,
Special Topics - 41240 - LAW 372 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Matthew A.  Melone (P),,,,,,,
