Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Managing and Leading People in Organizations - 49434 - MGT 143 - 010,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Serge   Pires da Motta Veiga (P),,,,,,,
Managing and Leading People in Organizations - 49435 - MGT 143 - 011,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Managing and Leading People in Organizations - 49436 - MGT 143 - 012,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Managing and Leading People in Organizations - 49437 - MGT 143 - 013,Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Serge   Pires da Motta Veiga (P),,,,,,,
Managing and Leading People in Organizations - 49438 - MGT 143 - 014,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Corinne A.  Post (P),,,,,,,
Managing and Leading People in Organizations - 49439 - MGT 143 - 015,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Naomi B.  Rothman (P),,,,,,,
Strategic Management - 41465 - MGT 301 - 010,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Robert   Kuchta (P),,,,,,,
Strategic Management - 40432 - MGT 301 - 011,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Charles E.  Stevens (P),,,,,,,
Strategic Management - 40433 - MGT 301 - 012,Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Michael D.  Santoro (P),,,,,,,
Strategic Management - 40434 - MGT 301 - 013,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Michael D.  Santoro (P),,,,,,,
Strategic Management - 40435 - MGT 301 - 014,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Charles E.  Stevens (P),,,,,,,
Small Business Consulting - 49525 - MGT 314 - 010,Class,7:10 pm - 10:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Negotiations and Conflict Management - 45899 - MGT 328 - 010,Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Liuba Y.  Belkin (P),,,,,,,
Human Resource Management - 45334 - MGT 333 - 010,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Douglas M.  Mahony (P),,,,,,,
Diversity and Inclusion in the Workplace - 49061 - MGT 363 - 010,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Corinne A.  Post (P),,,,,,,
Directed Readings - 40707 - MGT 371 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Corinne A.  Post (P),,,,,,,
Special Topics - 40708 - MGT 372 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Corinne A.  Post (P),,,,,,,
