Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Integrated Product Development - 49251 - MSE 401 - 010,Class,6:00 pm - 7:15 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Brandon A.  Krick (P),,,,,,,
Integrated Product Development - 49262 - MSE 401 - 011,Class,7:30 pm - 8:45 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Manufacturing Systems Engineering Project - 40781 - MSE 451 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Keith M  Gardiner (P),,,,,,,
Manufacturing Systems Engineering Project - 46591 - MSE 451 - D10,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Keith M  Gardiner (P),,,,,,,
Manufacturing Systems Engineering Thesis - 40782 - MSE 490 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Keith M  Gardiner (P),,,,,,,
Manufacturing Systems Engineering Thesis - 46596 - MSE 490 - D10,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Thesis,Keith M  Gardiner (P),,,,,,,
Intro to Organ & Envrnmt - 48820 - MSE 495 - 010,Class,6:00 pm - 9:30 pm,M,TBA,"Aug 25, 2014 - Oct 20, 2014",Lecture,Andrew John  Ward (P),,,,,,,
INTRO TO ORGAN & ENVRNMT - 47623 - MSE 495 - 011,Class,6:00 pm - 9:30 pm,T,TBA,"Apr 10, 2014 - Aug 25, 2014",Lecture,Andrew John  Ward (P),,,,,,,
INTRO TO ORGAN & ENVRNMT - 47613 - MSE 495 - D10,Class,6:00 pm - 9:30 pm,M,TBA,"Aug 25, 2014 - Oct 20, 2014",Classroom Live Broadcast,Andrew John  Ward (P),,,,,,,
Global Competitive Environment - 47617 - MSE 497 - D10,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Keith M  Gardiner (P),,,,,,,
