Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Principles of Marketing - 44115 - MKT 111 - 010,Class,7:45 am - 9:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Ju-Yeon   Lee (P),,,,,,,
Principles of Marketing - 44117 - MKT 111 - 011,Class,8:45 am - 10:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,David   Griffith (P),,,,,,,
Principles of Marketing - 47450 - MKT 111 - 012,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Ju-Yeon   Lee (P),,,,,,,
Principles of Marketing - 45900 - MKT 111 - 013,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Principles of Marketing - 45901 - MKT 111 - 014,Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Principles of Marketing - 46540 - MKT 111 - 015,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Taewan   Kim (P),,,,,,,
Principles of Marketing - 46543 - MKT 111 - 016,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Taewan   Kim (P),,,,,,,
Principles of Marketing - 48844 - MKT 111 - 017,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Beibei   Dong (P),,,,,,,
Consumer Behavior - 41472 - MKT 311 - 010,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Consumer Behavior - 48851 - MKT 311 - 011,Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Marketing Research - 41818 - MKT 312 - 010,Class,7:55 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,K.   Sivakumar (P),,,,,,,
Marketing Research - 45015 - MKT 312 - 011,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,K.   Sivakumar (P),,,,,,,
Integrated Marketing Communications - 40446 - MKT 313 - 010,Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,James M.  Maskulka (P),,,,,,,
Development and Marketing of New Products - 46548 - MKT 319 - 011,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Ravindra   Chitturi (P),,,,,,,
Global Marketing - 46550 - MKT 320 - 011,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,James M.  Maskulka (P),,,,,,,
Quantitative Marketing Analysis - 48852 - MKT 325 - 010,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,David   Griffith (P),,,,,,,
Directed Readings - 49426 - MKT 371 - 010,Class,2:10 pm - 3:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Steven L.  Savino (P),,,,,,,
Special Topics - 48853 - MKT 372 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Ravindra   Chitturi (P),,,,,,,
Marketing Internship - 44120 - MKT 373 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,James M.  Maskulka (P),,,,,,,
Marketing Strategy - 41480 - MKT 387 - 010,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Steven L.  Savino (P),,,,,,,
Honors Project - 47075 - MKT 389 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,David   Griffith (P),,,,,,,
