Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Materials Laboratory - 40307 - MAT 010 - 060,Class,10:45 am - 12:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,John N.  DuPont (P),Class Activity 1,1:10 pm - 4:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,John N.  DuPont (P)
Materials Laboratory - 49310 - MAT 010 - 061,Class,1:10 pm - 4:10 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,John N.  DuPont (P),Class Activity 1,10:45 am - 12:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,John N.  DuPont (P)
Materials Laboratory - 44750 - MAT 010 - 062,Class,10:45 am - 12:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,John N.  DuPont (P),Class Activity 1,1:10 pm - 4:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,John N.  DuPont (P)
Engineering Materials and Processes - 40309 - MAT 033 - 110,Class,11:10 am - 12:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Masashi   Watanabe (P), Xuanhong   Cheng ",Class Activity 1,11:10 am - 12:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Masashi   Watanabe (P), Xuanhong   Cheng "
Engineering Materials and Processes - 40310 - MAT 033 - 111,Class,11:10 am - 12:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Masashi   Watanabe (P), Nicholas   Strandwitz ",Class Activity 1,12:10 pm - 1:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Masashi   Watanabe (P), Nicholas   Strandwitz "
Engineering Materials and Processes - 41003 - MAT 033 - 113,Class,11:10 am - 12:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Masashi   Watanabe (P),Class Activity 1,12:10 pm - 1:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Masashi   Watanabe (P)
Materials and Processes - 41004 - MAT 033 - 114,Class,11:10 am - 12:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Masashi   Watanabe (P), Nicholas   Strandwitz ",Class Activity 1,1:10 pm - 2:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Masashi   Watanabe (P), Nicholas   Strandwitz "
Professional Development - 41290 - MAT 101 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Charles E.  Lyman (P),,,,,,,
Physical Properties of Materials - 40312 - MAT 201 - 010,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Diffusion and Phase Transformations - 40313 - MAT 216 - 060,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,John N.  DuPont (P),Class Activity 1,1:10 pm - 4:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,John N.  DuPont (P)
Diffusion and Phase Transformations - 40314 - MAT 216 - 061,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,John N.  DuPont (P),Class Activity 1,1:10 pm - 4:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,John N.  DuPont (P)
Mechanical Behavior of Materials - 43211 - MAT 218 - 060,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Richard P.  Vinci (P),Class Activity 1,1:10 pm - 4:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Richard P.  Vinci (P)
Mechanical Behavior of Macro/Nanoscale Materials - 41293 - MAT 218 - 061,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Richard P.  Vinci (P),Class,1:10 pm - 4:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Lab,Richard P.  Vinci (P)
Research Techniques - 40316 - MAT 240 - 010,Class,1:10 pm - 4:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Wojciech Z.  Misiolek (P),,,,,,,
Electronic Properties of Materials - 41294 - MAT 302 - 010,Class,12:10 pm - 1:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Xuanhong   Cheng (P),,,,,,,
Independent Study in Materials - 40886 - MAT 310 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Helen M.  Chan (P),,,,,,,
Independent Study in Materials - 48275 - MAT 310 - 011,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Xuanhong   Cheng (P),,,,,,,
Independent Study in Materials - 48276 - MAT 310 - 012,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,John N.  DuPont (P),,,,,,,
Independent Study in Materials - 48277 - MAT 310 - 013,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Martin P.  Harmer (P),,,,,,,
Independent Study in Materials - 48278 - MAT 310 - 014,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Himanshu   Jain (P),,,,,,,
Independent Study in Materials - 48280 - MAT 310 - 016,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Christopher J.  Kiely (P),,,,,,,
Independent Study in Materials - 48281 - MAT 310 - 017,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Charles E.  Lyman (P),,,,,,,
Independent Study in Materials - 48282 - MAT 310 - 018,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Wojciech Z.  Misiolek (P),,,,,,,
Independent Study in Materials - 48283 - MAT 310 - 019,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Raymond A.  Pearson (P),,,,,,,
Independent Study in Materials - 48284 - MAT 310 - 020,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Jeffrey M.  Rickman (P),,,,,,,
Independent Study in Materials - 48285 - MAT 310 - 021,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Richard P.  Vinci (P),,,,,,,
Independent Study in Materials - 48286 - MAT 310 - 022,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Masashi   Watanabe (P),,,,,,,
Independent Study in Materials - 49059 - MAT 310 - 023,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Nicholas   Strandwitz (P),,,,,,,
Physical Properties of Structural and Electronic Ceramics - 41704 - MAT 315 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Martin P.  Harmer (P),,,,,,,
Optical Properties Of Material - 48931 - MAT 316 - 010,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Christopher J.  Kiely (P),,,,,,,
Inorganic Biomaterials - 48194 - MAT 325 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Wojciech Z.  Misiolek (P),,,,,,,
Industrial Project - 40710 - MAT 327 - 010,Class,7:55 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Wojciech Z.  Misiolek (P),,,,,,,
Industrial Project - 40711 - MAT 329 - 010,Class,7:55 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Wojciech Z.  Misiolek (P),,,,,,,
Basics of Materials Science and Engineering - 46201 - MAT 332 - 010,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Masashi   Watanabe (P),,,,,,,
