Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Preparation for Calculus - 40320 - MATH 000 - 010,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Basic Statistics - 40321 - MATH 012 - 110,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Bennett   Eisenberg (P),Class Activity 1,9:20 am - 10:10 am,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Bennett   Eisenberg (P)
Basic Statistics - 40322 - MATH 012 - 111,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Bennett   Eisenberg (P),Class Activity 1,1:10 pm - 2:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Bennett   Eisenberg (P)
Basic Statistics - 40323 - MATH 012 - 113,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Bennett   Eisenberg (P),Class Activity 1,3:10 pm - 4:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Bennett   Eisenberg (P)
Basic Statistics - 45273 - MATH 012 - 210,Class,8:10 am - 9:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P),Class Activity 1,9:20 am - 10:10 am,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P)
Basic Statistics - 45887 - MATH 012 - 211,Class,8:10 am - 9:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P),Class Activity 1,1:10 pm - 2:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P)
Basic Statistics - 45276 - MATH 012 - 212,Class,8:10 am - 9:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P),Class Activity 1,8:20 am - 9:10 am,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P)
Calculus I - 40324 - MATH 021 - 110,Class,7:55 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P),Class Activity 1,8:10 am - 9:00 am,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P)
Calculus I - 40325 - MATH 021 - 111,Class,7:55 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P),Class Activity 1,1:10 pm - 2:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P)
Calculus I - 40326 - MATH 021 - 112,Class,7:55 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P),Class Activity 1,9:10 am - 10:00 am,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P)
Calculus I - 40327 - MATH 021 - 113,Class,7:55 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P),Class Activity 1,2:10 pm - 3:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Teaching   Staff (P)
Calculus I - 45913 - MATH 021 - 210,Class,1:10 pm - 2:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Terrence J.  Napier (P),Class Activity 1,8:20 am - 9:10 am,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Terrence J.  Napier (P)
Calculus I - 45914 - MATH 021 - 211,Class,1:10 pm - 2:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Terrence J.  Napier (P),Class Activity 1,1:10 pm - 2:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Terrence J.  Napier (P)
Calculus I - 45915 - MATH 021 - 212,Class,1:10 pm - 2:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Terrence J.  Napier (P),Class Activity 1,12:10 pm - 1:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Terrence J.  Napier (P)
Calculus I - 45917 - MATH 021 - 213,Class,1:10 pm - 2:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Terrence J.  Napier (P),Class Activity 1,2:10 pm - 3:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Terrence J.  Napier (P)
