Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Graphics for Engineering Design - 40394 - ME 010 - 010,Class,7:55 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Tulga M.  Ozsoy (P),,,,,,,
Graphics for Engineering Design - 40396 - ME 010 - 012,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Tulga M.  Ozsoy (P),,,,,,,
Graphics for Engineering Design - 40739 - ME 010 - 013,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Tulga M.  Ozsoy (P),,,,,,,
Numerical Methods in Mechanical Engineering - 49547 - ME 017 - 010,Class,8:10 am - 9:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Charles R.  Smith (P),,,,,,,
Numerical Methods in Mechanical Engineering - 49548 - ME 017 - 011,Class,10:10 am - 11:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Charles R.  Smith (P),,,,,,,
Numerical Methods in Mechanical Engineering - 49549 - ME 017 - 012,Class,12:10 pm - 1:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Charles R.  Smith (P),,,,,,,
Mechanical Engineering Laboratory I - 40397 - ME 021 - 060,Class,12:10 pm - 1:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Meng-Sang   Chew (P),Class Activity 1,1:10 pm - 2:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Meng-Sang   Chew (P)
Mechanical Engineering Laboratory I - 41905 - ME 021 - 061,Class,12:10 pm - 1:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Meng-Sang   Chew (P),Class Activity 1,2:10 pm - 3:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Meng-Sang   Chew (P)
Mechanical Engineering Laboratory I - 40988 - ME 021 - 062,Class,12:10 pm - 1:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Meng-Sang   Chew (P),Class Activity 1,3:10 pm - 4:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Meng-Sang   Chew (P)
Mechanical Engineering Laboratory I - 40989 - ME 021 - 063,Class,12:10 pm - 1:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Meng-Sang   Chew (P),Class Activity 1,1:10 pm - 2:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Meng-Sang   Chew (P)
Mechanical Engineering Laboratory I - 40990 - ME 021 - 064,Class,12:10 pm - 1:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Meng-Sang   Chew (P),Class Activity 1,2:10 pm - 3:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Meng-Sang   Chew (P)
Mechanical Engineering Laboratory I - 40991 - ME 021 - 065,Class,12:10 pm - 1:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Meng-Sang   Chew (P),Class Activity 1,3:10 pm - 4:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Meng-Sang   Chew (P)
Mechanical Engineering Laboratory I - 40992 - ME 021 - 066,Class,12:10 pm - 1:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Meng-Sang   Chew (P),Class Activity 1,1:10 pm - 2:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lab,Meng-Sang   Chew (P)
