Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Elementary Engineering Mechanics - 40414 - MECH 002 - 010,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,William Andrew  Best (P),,,,,,,
Fundamentals of Engineering Mechanics - 44176 - MECH 003 - 011,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Jacob Y.  Kazakia (P),,,,,,,
Fundamentals of Engineering Mechanics - 44177 - MECH 003 - 012,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Christina Viau  Haden (P),,,,,,,
Fundamentals of Engineering Mechanics - 44178 - MECH 003 - 013,Class,1:10 pm - 2:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Murat   Ozturk (P),,,,,,,
Fundamentals of Engineering Mechanics - 44179 - MECH 003 - 014,Class,2:10 pm - 3:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Murat   Ozturk (P),,,,,,,
Fundamentals of Engineering Mechanics - 44180 - MECH 003 - 015,Class,8:10 am - 9:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Natasha   Vermaak (P),,,,,,,
Fundamentals of Engineering Mechanics - 46985 - MECH 003 - 016,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Jacob Y.  Kazakia (P),,,,,,,
Strength of Materials - 40420 - MECH 012 - 010,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Edmund B.  Webb (P),,,,,,,
Dynamics - 40999 - MECH 102 - 010,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Noel Duke  Perreira (P),,,,,,,
Advanced Mechanics of Materials - 40422 - MECH 305 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Herman F.  Nied (P),,,,,,,
Aerodynamics - 41940 - MECH 326 - 010,Class,1:10 pm - 2:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Keith W.  Moored (P),,,,,,,
Mechanics & Behavior of Structural Members - 46825 - MECH 404 - 010,Class,7:55 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,John L.  Wilson (P),,,,,,,
Fundamentals of Solid Mechanics - 44963 - MECH 406 - 010,Class,7:45 am - 9:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Joachim L.  Grenestedt (P),,,,,,,
Thesis - 41179 - MECH 490 - 010,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Thesis,Teaching   Staff (P),,,,,,,
Dissertation - 41333 - MECH 499 - 010,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Dissertation,Teaching   Staff (P),,,,,,,
