Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Keyboard Harmony II - 40449 - MUS 003 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Eugene O.  Albulescu (P),,,,,,,
Aural Skills - 45216 - MUS 007 - 010,Class,2:35 pm - 3:25 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Sun Min   Lee (P),,,,,,,
Basic Skills in Music - 40452 - MUS 010 - 010,Class,12:10 pm - 1:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Michael   Jorgensen (P),,,,,,,
Marching Band - 40801 - MUS 021 - 010,Class,4:15 pm - 6:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Albert J.  Neumeyer (P),,,,,,,
Wind Ensemble - 40453 - MUS 022 - 010,Class,7:15 pm - 9:15 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,David B.  Diggs (P),,,,,,,
Jazz Ensemble - 40454 - MUS 024 - 010,Class,4:00 pm - 6:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,William   Warfield (P),,,,,,,
Jazz Orchestra - 49020 - MUS 027 - 010,Class,7:00 pm - 9:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,William   Warfield (P),,,,,,,
University Choir - 40456 - MUS 031 - 010,Class,4:10 pm - 6:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Steven P.  Sametz (P),Class Activity 1,7:10 pm - 9:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Steven P.  Sametz (P)
Choral Union - 40457 - MUS 032 - 010,Class,7:30 pm - 10:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Steven P.  Sametz (P),,,,,,,
Glee Club - 41300 - MUS 033 - 010,Class,5:10 pm - 6:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Steven P.  Sametz (P),,,,,,,
Freshman Lab Choir - 43603 - MUS 034 - 010,Class,4:10 pm - 5:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Sun Min   Lee (P),,,,,,,
Dolce Women's Choir - 45335 - MUS 035 - 010,Class,5:10 pm - 6:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Sun Min   Lee (P),,,,,,,
