Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Philosophical Questions - 49264 - PHIL 002 - 010,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Nathan G  Schmidt (P),,,,,,,
"Global Religion, Global Ethics - 49267 - PHIL 003 - 010",Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Lloyd H  Steffen (P),,,,,,,
"Faith, Reason, and Praxius - 49271 - PHIL 004 - 010",Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Barry K.  Hulsizer (P),,,,,,,
Reasoning and Critical Thinking - 49272 - PHIL 014 - 010,Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Nathan G  Schmidt (P),,,,,,,
"Reality, Self and the Ineffable: East & West - 40465 - PHIL 090 - 010",Class,12:10 pm - 1:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Ricki L.  Bliss (P),,,,,,,
Ethics - 40466 - PHIL 105 - 010,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Roslyn E.  Weiss (P),,,,,,,
Philosophy in Film - 49273 - PHIL 120 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Full On line Class,Gregory M  Reihman (P),,,,,,,
Philosophy Of Science - 49274 - PHIL 128 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Steven L.  Goldman (P),,,,,,,
Medieval Philosophy - 49275 - PHIL 133 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Michael   Mendelson (P),,,,,,,
Contemporary Philosophy: History of Analytic Philosophy - 49558 - PHIL 139 - 010,Class,1:10 pm - 2:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Eastern Philosophy - 49559 - PHIL 140 - 010,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Ricki L.  Bliss (P),,,,,,,
Philosophy and Gender - 49277 - PHIL 146 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Robin S.  Dillon (P),,,,,,,
Topics in the Philosophy of Religion - 49280 - PHIL 224 - 010,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Khurram   Hussain (P),,,,,,,
Fig/ThAncPhil:SocratesLife&Dea - 49285 - PHIL 231 - 010,Class,8:45 am - 10:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Roslyn E.  Weiss (P),,,,,,,
Th/Fig19ThCentPhil:GermanIdeal - 49288 - PHIL 237 - 010,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Michael   Mendelson (P),,,,,,,
Philosophy of Mind - 49561 - PHIL 250 - 010,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Independent Study - 48755 - PHIL 271 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Gordon C. F.  Bearn (P),,,,,,,
Independent Study - 48756 - PHIL 271 - 012,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Robin S.  Dillon (P),,,,,,,
Independent Study - 48758 - PHIL 271 - 013,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Steven L.  Goldman (P),,,,,,,
Independent Study - 48759 - PHIL 271 - 015,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Roslyn E.  Weiss (P),,,,,,,
Independent Study - 48760 - PHIL 271 - 016,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Aladdin M.  Yaqub (P),,,,,,,
Piaget and Mind - 49291 - PHIL 297 - 010,Class,1:10 pm - 4:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Mark H.  Bickhard (P),,,,,,,
Mathematical Logic - 49522 - PHIL 303 - 010,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Lee J.  Stanley (P),,,,,,,
Advanced Independent Study - 40829 - PHIL 371 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Gordon C. F.  Bearn (P),,,,,,,
Advanced Independent Study - 46845 - PHIL 371 - 012,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Robin S.  Dillon (P),,,,,,,
Advanced Independent Study - 46846 - PHIL 371 - 013,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Steven L.  Goldman (P),,,,,,,
Advanced Independent Study - 46847 - PHIL 371 - 014,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Michael   Mendelson (P),,,,,,,
Advanced Independent Study - 46848 - PHIL 371 - 015,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Roslyn E.  Weiss (P),,,,,,,
Advanced Independent Study - 46849 - PHIL 371 - 016,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Aladdin M.  Yaqub (P),,,,,,,
Senior Thesis - 40830 - PHIL 390 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Gordon C. F.  Bearn (P),,,,,,,
Senior Thesis - 46851 - PHIL 390 - 012,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Robin S.  Dillon (P),,,,,,,
Senior Thesis - 46852 - PHIL 390 - 013,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Steven L.  Goldman (P),,,,,,,
Senior Thesis - 46853 - PHIL 390 - 014,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Michael   Mendelson (P),,,,,,,
Senior Thesis - 46854 - PHIL 390 - 015,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Roslyn E.  Weiss (P),,,,,,,
Senior Thesis - 46855 - PHIL 390 - 016,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Aladdin M.  Yaqub (P),,,,,,,
Senior Thesis - 40831 - PHIL 391 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Gordon C. F.  Bearn (P),,,,,,,
Senior Thesis - 46857 - PHIL 391 - 012,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Robin S.  Dillon (P),,,,,,,
Senior Thesis - 46858 - PHIL 391 - 013,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Steven L.  Goldman (P),,,,,,,
Senior Thesis - 46859 - PHIL 391 - 014,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Michael   Mendelson (P),,,,,,,
Senior Thesis - 46860 - PHIL 391 - 015,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Roslyn E.  Weiss (P),,,,,,,
Senior Thesis - 46861 - PHIL 391 - 016,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Aladdin M.  Yaqub (P),,,,,,,
