Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Introductory Physics I Completion - 40468 - PHY 009 - 110,Class,9:10 am - 10:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Jerome C.  Licini (P),Class Activity 1,8:20 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Jerome C.  Licini (P)
Introductory Physics I Completion - 40470 - PHY 009 - 111,Class,9:10 am - 10:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Jerome C.  Licini (P),Class Activity 1,9:20 am - 10:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Jerome C.  Licini (P)
Introductory Physics I Completion - 40472 - PHY 009 - 112,Class,9:10 am - 10:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Jerome C.  Licini (P),Class Activity 1,10:45 am - 11:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Jerome C.  Licini (P)
Introductory Physics I Completion - 40474 - PHY 009 - 113,Class,9:10 am - 10:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Jerome C.  Licini (P),Class Activity 1,12:10 pm - 1:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Jerome C.  Licini (P)
Introductory Physics I Completion - 40476 - PHY 009 - 114,Class,9:10 am - 10:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Jerome C.  Licini (P),Class Activity 1,1:10 pm - 2:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Jerome C.  Licini (P)
Introductory Physics I Completion - 40478 - PHY 009 - 115,Class,9:10 am - 10:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Jerome C.  Licini (P),Class Activity 1,2:10 pm - 3:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Jerome C.  Licini (P)
Introductory Physics I Completion - 41143 - PHY 009 - 116,Class,9:10 am - 10:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Jerome C.  Licini (P),Class Activity 1,3:10 pm - 4:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Jerome C.  Licini (P)
Introductory Physics I Completion - 40469 - PHY 009 - 210,Class,11:10 am - 12:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Jerome C.  Licini (P),Class Activity 1,8:20 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Jerome C.  Licini (P)
Introductory Physics I Completion - 40471 - PHY 009 - 211,Class,11:10 am - 12:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Jerome C.  Licini (P),Class Activity 1,9:20 am - 10:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Jerome C.  Licini (P)
Introductory Physics I Completion - 40473 - PHY 009 - 212,Class,11:10 am - 12:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Jerome C.  Licini (P),Class Activity 1,10:45 am - 11:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Jerome C.  Licini (P)
Introductory Physics I Completion - 40475 - PHY 009 - 213,Class,11:10 am - 12:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Jerome C.  Licini (P),Class Activity 1,12:10 pm - 1:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Jerome C.  Licini (P)
Introductory Physics I Completion - 40477 - PHY 009 - 214,Class,11:10 am - 12:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Jerome C.  Licini (P),Class Activity 1,1:10 pm - 2:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Jerome C.  Licini (P)
Introductory Physics I Completion - 40479 - PHY 009 - 215,Class,11:10 am - 12:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Jerome C.  Licini (P),Class Activity 1,2:10 pm - 3:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Jerome C.  Licini (P)
Introductory Physics I Completion - 47753 - PHY 009 - 216,Class,11:10 am - 12:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Jerome C.  Licini (P),Class Activity 1,3:10 pm - 4:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Jerome C.  Licini (P)
General Physics I - 41144 - PHY 010 - 110,Class,10:10 am - 11:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Volkmar R.  Dierolf (P), Paola M  Cereghetti Biaggio ",Class Activity 1,9:20 am - 10:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Volkmar R.  Dierolf (P), Paola M  Cereghetti Biaggio "
General Physics I - 40792 - PHY 010 - 111,Class,11:10 am - 12:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Volkmar R.  Dierolf (P), Paola M  Cereghetti Biaggio ",Class Activity 1,9:20 am - 10:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Volkmar R.  Dierolf (P), Paola M  Cereghetti Biaggio "
General Physics I - 43927 - PHY 010 - 112,Class,9:10 am - 10:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Volkmar R.  Dierolf (P), Paola M  Cereghetti Biaggio ",Class Activity 1,9:20 am - 10:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Volkmar R.  Dierolf (P), Paola M  Cereghetti Biaggio "
General Physics I - 47708 - PHY 010 - 114,Class,12:10 pm - 1:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Volkmar R.  Dierolf (P), Paola M  Cereghetti Biaggio ",Class Activity 1,9:20 am - 10:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,"Volkmar R.  Dierolf (P), Paola M  Cereghetti Biaggio "
Introductory Physics I - 44055 - PHY 011 - 110,Class,9:10 am - 10:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Jerome C.  Licini (P),Class Activity 1,8:20 am - 9:10 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Jerome C.  Licini (P)
