Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
American Political System - 49156 - POLS 001 - 010,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Albert H.  Wurth (P),,,,,,,
American Political System - 40540 - POLS 001 - 011,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Comparative Politics - 44814 - POLS 003 - 011,Class,11:10 am - 12:25 pm,WF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Nandini   Deo (P),,,,,,,
Intrtoduction to Comparative Politics - 44507 - POLS 090 - 010,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Vera L.  Fennell (P),,,,,,,
Issues in American Politics - 48748 - POLS 090 - 011,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Laura K  Olson (P),,,,,,,
Introduction to Public Administration - 49157 - POLS 103 - 010,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Holona L.  Ochs (P),,,,,,,
Environmental Policy and Planning - 43364 - POLS 105 - 010,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Breena   Holland (P),,,,,,,
Technology As Politics - 49158 - POLS 115 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Albert H.  Wurth (P),,,,,,,
Governors and Presidents - 49159 - POLS 304 - 010,Class,2:35 pm - 3:50 pm,MW,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Full On line Class,Saladin M.  Ambar (P),,,,,,,
Social Entrepreneurship: How to Change the World - 49160 - POLS 310 - 010,Class,7:10 pm - 10:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
"Propaganda, Media, and American Politics - 48039 - POLS 329 - 010",Class,1:10 pm - 2:25 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Edward P.  Morgan (P),Class Activity 1,1:10 pm - 3:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Edward P.  Morgan (P)
Community Politics Internship - 41127 - POLS 331 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Laura K  Olson (P),,,,,,,
The Rise of the State in Modern East Asia - 49161 - POLS 339 - 010,Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Vera L.  Fennell (P),,,,,,,
Domination - 49163 - POLS 340 - 010,Class,12:45 pm - 2:00 pm,WF,TBA,"Aug 25, 2014 - Dec 05, 2014",Full On line Class,Nandini   Deo (P),,,,,,,
Constitutional Law and Politics - 48746 - POLS 351 - 010,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
American Political Thought - 48749 - POLS 367 - 010,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Saladin M.  Ambar (P),,,,,,,
Honors Thesis In Political Science - 42983 - POLS 378 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Nandini   Deo (P),,,,,,,
Honors Thesis In Political Science - 43573 - POLS 378 - 011,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Frank L.  Davis (P),,,,,,,
Honors Thesis In Political Science - 43574 - POLS 378 - 012,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Breena   Holland (P),,,,,,,
Honors Thesis In Political Science - 43577 - POLS 378 - 013,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Janet M.  Laible (P),,,,,,,
Honors Thesis In Political Science - 43578 - POLS 378 - 014,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Richard K.  Matthews (P),,,,,,,
Honors Thesis In Political Science - 43579 - POLS 378 - 015,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Edward P.  Morgan (P),,,,,,,
Honors Thesis In Political Science - 43580 - POLS 378 - 016,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Laura K  Olson (P),,,,,,,
Honors Thesis In Political Science - 43582 - POLS 378 - 018,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Vera L.  Fennell (P),,,,,,,
Honors Thesis In Political Science - 45968 - POLS 378 - 019,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Albert H.  Wurth (P),,,,,,,
Honors Thesis In Political Science - 46691 - POLS 378 - 020,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Holona L.  Ochs (P),,,,,,,
Honors Thesis In Political Science - 48041 - POLS 378 - 021,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Saladin M.  Ambar (P),,,,,,,
Special Topics - 40675 - POLS 381 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Nandini   Deo (P),,,,,,,
Special Topics - 43584 - POLS 381 - 011,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Frank L.  Davis (P),,,,,,,
Special Topics - 43585 - POLS 381 - 012,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Breena   Holland (P),,,,,,,
Special Topics - 43586 - POLS 381 - 013,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Janet M.  Laible (P),,,,,,,
Special Topics - 43587 - POLS 381 - 014,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Richard K.  Matthews (P),,,,,,,
Special Topics - 43588 - POLS 381 - 015,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Edward P.  Morgan (P),,,,,,,
Special Topics - 43589 - POLS 381 - 016,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Laura K  Olson (P),,,,,,,
Special Topics - 43591 - POLS 381 - 018,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Vera L.  Fennell (P),,,,,,,
Special Topics - 45969 - POLS 381 - 019,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Albert H.  Wurth (P),,,,,,,
Special Topics - 46693 - POLS 381 - 020,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Holona L.  Ochs (P),,,,,,,
