Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Introduction to Psychology - 40542 - PSYC 001 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Diane T.  Hyland (P),,,,,,,
Introduction to Psychology - 48735 - PSYC 001 - 011,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
The Development of Good and Evil - 48720 - PSYC 090 - 010,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Deborah   Laible (P),,,,,,,
Human Neuroscience - 49535 - PSYC 096 - 010,Class,11:10 am - 12:25 pm,WF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Catherine M.  Arrington (P),,,,,,,
Current Topics in Human Neuroscience - 49169 - PSYC 097 - 010,Class,1:10 pm - 2:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Catherine M.  Arrington (P),,,,,,,
Current Topics in Human Neuroscience - 49170 - PSYC 097 - 011,Class,2:10 pm - 3:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Catherine M.  Arrington (P),,,,,,,
Current Topics in Human Neuroscience - 49172 - PSYC 097 - 012,Class,1:10 pm - 2:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Catherine M.  Arrington (P),,,,,,,
Child Development - 40543 - PSYC 107 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Amanda C.  Brandone (P),,,,,,,
Statistical Analysis of Behavioral Data - 40545 - PSYC 110 - 110,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Almut   Hupbach (P),Class Activity 1,2:10 pm - 3:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Almut   Hupbach (P)
Statistical Analysis of Behavioral Data - 40546 - PSYC 110 - 111,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Almut   Hupbach (P),Class Activity 1,3:10 pm - 4:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Almut   Hupbach (P)
Cognitive Psychology - 46011 - PSYC 117 - 010,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Jessecae   Marsh (P),,,,,,,
