Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
"Global Religion, Global Ethics - 49270 - REL 003 - 010",Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Lloyd H  Steffen (P),,,,,,,
Spiritual Exercises in Religious Traditions - 49313 - REL 005 - 010,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Michael L.  Raposa (P),,,,,,,
Food and the Scared - 49316 - REL 013 - 010,Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Lenore E. Chava  Weissler (P),,,,,,,
Introduction to Black Religions and Hip-Hop - 49320 - REL 025 - 010,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Monica R.  Miller (P),,,,,,,
Freshmen Seminar - 48727 - REL 090 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Sources for the Life of Jesus: the Jewish and Christian Context - 49323 - REL 121 - 010,Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Benjamin G.  Wright (P),,,,,,,
Islam Across Cultures - 49324 - REL 148 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Robert Thomas  Rozehnal (P),,,,,,,
Modern Islamic Ethics - 49330 - REL 149 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Khurram   Hussain (P),,,,,,,
Judaism in the Modern World - 49331 - REL 150 - 010,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Martin Thomas  Kavka (P),,,,,,,
SpiritQuestContempJewishLife - 49332 - REL 153 - 010,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Lenore E. Chava  Weissler (P),,,,,,,
The Holocaust: History and Meaning - 46491 - REL 154 - 010,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Nitzan   Lebovic (P),,,,,,,
Bioethics and the Law - 49556 - REL 195 - 010,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Full On line Class,Dena S  Davis (P),,,,,,,
Identity and the Battle for Authenticity - 49334 - REL 198 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Monica R.  Miller (P),,,,,,,
Topics in the Philosophy of Religion - 49282 - REL 224 - 010,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Khurram   Hussain (P),,,,,,,
Buddhist Visions of a Good Society - 49340 - REL 234 - 010,Class,1:10 pm - 4:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Kenneth L.  Kraft (P),,,,,,,
Globalization and Religion - 49342 - REL 244 - 010,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Robert Thomas  Rozehnal (P),,,,,,,
"Religion, Witchcraft And Magic - 47845 - REL 335 - 010",Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,David   Casagrande (P),,,,,,,
Directed Readings - 40804 - REL 371 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Monica R.  Miller (P),,,,,,,
Directed Readings - 44489 - REL 371 - 011,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Michael L.  Raposa (P),,,,,,,
