Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Applied Behavior Analysis - 40553 - SCHP 402 - 010,Class,4:10 pm - 7:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Christine L.  Cole (P),,,,,,,
Historical and Contemporary Issues in School Psychology - 40554 - SCHP 404 - 010,Class,9:10 am - 12:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Christine L.  Cole (P),,,,,,,
Crisis Management in the Schools - 42692 - SCHP 407 - 010,Class,7:10 pm - 10:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Kevin M.  Kelly (P),,,,,,,
Consultation Procedures - 40555 - SCHP 412 - 010,Class,4:10 pm - 6:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Patricia H.  Manz (P),,,,,,,
Behavioral Assessment - 47222 - SCHP 423 - 010,Class,1:10 pm - 4:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Robin L.  Hojnoski (P),,,,,,,
Special Topics in School Psychology - 41211 - SCHP 429 - 010,Class,4:10 pm - 7:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Patricia H.  Manz (P),,,,,,,
Special Topics in School Psychology - 43857 - SCHP 429 - 011,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,George J.  DuPaul (P),,,,,,,
Practicum in Consultation Procedures - 40557 - SCHP 431 - 010,Class,6:10 pm - 7:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Patricia H.  Manz (P),,,,,,,
Practicum in Behavioral Assessment - 47224 - SCHP 433 - 010,Class,12:10 pm - 1:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Robin L.  Hojnoski (P),,,,,,,
Applied Research Practicum - 40837 - SCHP 434 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Teaching   Staff (P),,,,,,,
Health/Pediatric Psychology - 49122 - SCHP 438 - 010,Class,4:10 pm - 7:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,George J.  DuPaul (P),,,,,,,
Doctoral Practicum in School Psychology - 40752 - SCHP 442 - 010,Class,1:10 pm - 3:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Christine   Novak (P),,,,,,,
Certification Internship - 44533 - SCHP 443 - 010,Class,5:10 pm - 6:00 pm,M,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Internship,Christine   Novak (P),,,,,,,
Doctoral Internship - 40753 - SCHP 444 - 010,Class,6:30 pm - 7:30 pm,M,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Internship,Christine   Novak (P),,,,,,,
Doc Sem: Early Intervention - 49123 - SCHP 496 - 010,Class,1:10 pm - 4:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Robin L.  Hojnoski (P),,,,,,,
Dissertation - 40754 - SCHP 499 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Dissertation,Teaching   Staff (P),,,,,,,
Dissertation - 41107 - SCHP 499 - 011,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Dissertation,Teaching   Staff (P),,,,,,,
