Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Technology and Human Values - 40575 - STS 011 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Steven L.  Goldman (P),,,,,,,
Politics of Science - 45882 - STS 124 - 010,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Sharon M.  Friedman (P),,,,,,,
Independent Study - 40871 - STS 181 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Stephen H.  Cutcliffe (P),,,,,,,
Independent Study - 48768 - STS 181 - 011,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Steven L.  Goldman (P),,,,,,,
Independent Study - 48769 - STS 181 - 012,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,William Andrew  Best (P),,,,,,,
Food& Health in Modern America - 49399 - STS 196 - 010,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
"Sci, Tech & Amer Constitution - 49475 - STS 197 - 010",Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Recitation,Gregory C.  Kunkle (P),,,,,,,
"Computers, the Internet, and Society - 41494 - STS 252 - 010",Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Xiaolei   Huang (P),,,,,,,
Senior Seminar - 40576 - STS 381 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Stephen H.  Cutcliffe (P),,,,,,,
Honors Thesis - 43903 - STS 391 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Stephen H.  Cutcliffe (P),,,,,,,
Social Hist of Med in Early Eu - 49031 - STS 397 - 010,Class,1:10 pm - 4:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Michelle   DiMeo (P),,,,,,,
