Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Introduction to Sociology and Social Psychology - 41160 - SSP 001 - 110,Class,10:45 am - 11:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Heather Beth  Johnson (P),Class Activity 1,8:10 am - 9:00 am,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Heather Beth  Johnson (P)
Introduction to Sociology and Social Psychology - 41161 - SSP 001 - 111,Class,10:45 am - 11:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Heather Beth  Johnson (P),Class Activity 1,1:10 pm - 2:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Heather Beth  Johnson (P)
Introduction to Sociology and Social Psychology - 46028 - SSP 001 - 112,Class,10:45 am - 11:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Heather Beth  Johnson (P),Class Activity 1,2:10 pm - 3:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Heather Beth  Johnson (P)
Introduction to Sociology and Social Psychology - 41163 - SSP 001 - 113,Class,10:45 am - 11:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Heather Beth  Johnson (P),Class Activity 1,12:10 pm - 1:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Heather Beth  Johnson (P)
Introduction to Sociology and Social Psychology - 46023 - SSP 001 - 114,Class,10:45 am - 11:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Heather Beth  Johnson (P),Class Activity 1,2:10 pm - 3:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Heather Beth  Johnson (P)
Introduction to Sociology and Social Psychology - 46024 - SSP 001 - 115,Class,10:45 am - 11:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Heather Beth  Johnson (P),Class Activity 1,12:10 pm - 1:00 pm,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Heather Beth  Johnson (P)
Introduction to Sociology and Social Psychology - 46026 - SSP 001 - 116,Class,10:45 am - 11:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Heather Beth  Johnson (P),Class Activity 1,1:10 pm - 2:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Heather Beth  Johnson (P)
Introduction to Sociology and Social Psychology - 46027 - SSP 001 - 117,Class,10:45 am - 11:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Heather Beth  Johnson (P),Class Activity 1,9:10 am - 10:00 am,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Heather Beth  Johnson (P)
Introduction to Sociology and Social Psychology - 48463 - SSP 001 - 118,Class,10:45 am - 11:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Heather Beth  Johnson (P),Class Activity 1,9:10 am - 10:00 am,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Heather Beth  Johnson (P)
Introduction to Sociology and Social Psychology - 48464 - SSP 001 - 119,Class,10:45 am - 11:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Heather Beth  Johnson (P),Class Activity 1,10:10 am - 11:00 am,F,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture and Recitation,Heather Beth  Johnson (P)
Freshmen Seminar - 46049 - SSP 090 - 010,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,James R.  McIntosh (P),,,,,,,
Social Origins Of Terrorism - 49375 - SSP 105 - 010,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Ziad Wael  Munson (P),,,,,,,
Medicine and Society - 42926 - SSP 160 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Judith N.  Lasker (P),,,,,,,
Social Movements - 49377 - SSP 313 - 010,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Ziad Wael  Munson (P),,,,,,,
Gendered Experience of Globalization - 47462 - SSP 331 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Yuping   Zhang (P),,,,,,,
Women and Health - 48638 - SSP 341 - 010,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Karen M.  Hicks (P),,,,,,,
Special Topics - 40823 - SSP 371 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Judith N.  Lasker (P),,,,,,,
Special Topics - 46653 - SSP 371 - 011,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,James R.  McIntosh (P),,,,,,,
Special Topics - 46654 - SSP 371 - 012,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Heather Beth  Johnson (P),,,,,,,
Special Topics - 46658 - SSP 371 - 016,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Yuping   Zhang (P),,,,,,,
Special Topics - 46659 - SSP 371 - 017,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Jacqueline   Krasas (P),,,,,,,
Special Topics - 46660 - SSP 371 - 018,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Ziad Wael  Munson (P),,,,,,,
Special Topics - 48643 - SSP 371 - 023,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Kelly F  Austin (P),,,,,,,
Supervised Research - 40824 - SSP 393 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Judith N.  Lasker (P),,,,,,,
Supervised Research - 46661 - SSP 393 - 011,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,James R.  McIntosh (P),,,,,,,
Supervised Research - 46662 - SSP 393 - 012,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Heather Beth  Johnson (P),,,,,,,
Supervised Research - 46666 - SSP 393 - 016,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Yuping   Zhang (P),,,,,,,
Supervised Research - 46667 - SSP 393 - 017,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Jacqueline   Krasas (P),,,,,,,
Supervised Research - 46668 - SSP 393 - 018,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Ziad Wael  Munson (P),,,,,,,
Supervised Research - 48644 - SSP 393 - 023,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Kelly F  Austin (P),,,,,,,
Internship - 41172 - SSP 395 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Judith N.  Lasker (P),,,,,,,
Internship - 46670 - SSP 395 - 011,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,James R.  McIntosh (P),,,,,,,
Internship - 46671 - SSP 395 - 012,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Heather Beth  Johnson (P),,,,,,,
Internship - 46675 - SSP 395 - 016,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Yuping   Zhang (P),,,,,,,
Internship - 46676 - SSP 395 - 017,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Jacqueline   Krasas (P),,,,,,,
Internship - 46677 - SSP 395 - 018,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Ziad Wael  Munson (P),,,,,,,
Internship - 47464 - SSP 395 - 019,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Nicola B.  Tannenbaum (P),,,,,,,
Internship - 47466 - SSP 395 - 020,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,John B.  Gatewood (P),,,,,,,
Internship - 47467 - SSP 395 - 021,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,David B.  Small (P),,,,,,,
Internship - 47468 - SSP 395 - 022,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Bruce   Whitehouse (P),,,,,,,
Internship - 48645 - SSP 395 - 023,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Kelly F  Austin (P),,,,,,,
Senior Thesis - 40825 - SSP 399 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Judith N.  Lasker (P),,,,,,,
Senior Thesis - 46683 - SSP 399 - 011,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,James R.  McIntosh (P),,,,,,,
Senior Thesis - 46684 - SSP 399 - 012,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Heather Beth  Johnson (P),,,,,,,
Senior Thesis - 46689 - SSP 399 - 016,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Yuping   Zhang (P),,,,,,,
Senior Thesis - 46690 - SSP 399 - 017,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Jacqueline   Krasas (P),,,,,,,
Senior Thesis - 46692 - SSP 399 - 018,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Ziad Wael  Munson (P),,,,,,,
Senior Thesis - 48648 - SSP 399 - 023,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Kelly F  Austin (P),,,,,,,
Classical Social Theory - 41322 - SSP 401 - 010,Class,4:10 pm - 7:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,James R.  McIntosh (P),,,,,,,
Statistics for Sociological Inquiry - 48401 - SSP 410 - 010,Class,4:10 pm - 7:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Yuping   Zhang (P),,,,,,,
Research Practicum - 41324 - SSP 413 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Ziad Wael  Munson (P),,,,,,,
Research Practicum - 48649 - SSP 413 - 011,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Kelly F  Austin (P),,,,,,,
Research Practicum - 48650 - SSP 413 - 012,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Heather Beth  Johnson (P),,,,,,,
Research Practicum - 48651 - SSP 413 - 013,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Jacqueline   Krasas (P),,,,,,,
Research Practicum - 48652 - SSP 413 - 014,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Judith N.  Lasker (P),,,,,,,
Research Practicum - 48653 - SSP 413 - 015,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,James R.  McIntosh (P),,,,,,,
Research Practicum - 48655 - SSP 413 - 017,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Yuping   Zhang (P),,,,,,,
