Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Elementary Spanish I - 41462 - SPAN 001 - 010,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Stephanie   Katz (P),Class Activity 1,10:45 am - 11:35 am,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Stephanie   Katz (P)
Elementary Spanish I - 40560 - SPAN 001 - 011,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Stephanie   Katz (P),Class Activity 1,12:10 pm - 1:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Stephanie   Katz (P)
Elementary Spanish II - 48716 - SPAN 002 - 010,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),Class Activity 1,12:10 pm - 1:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P)
Intermediate Spanish I - 49493 - SPAN 011 - 010,Class,12:10 pm - 1:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Intermediate Spanish I - 40563 - SPAN 011 - 011,Class,9:10 am - 10:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Intermediate Spanish I - 40564 - SPAN 011 - 012,Class,10:10 am - 11:00 am,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Intermediate Spanish I - 45242 - SPAN 011 - 013,Class,11:10 am - 12:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Intermediate Spanish II - 41274 - SPAN 012 - 010,Class,12:10 pm - 1:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Stephanie   Katz (P),,,,,,,
Intermediate Spanish II - 45441 - SPAN 012 - 011,Class,1:10 pm - 2:00 pm,MWF,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Stephanie   Katz (P),,,,,,,
Advanced Spanish Grammar - 40565 - SPAN 141 - 010,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Anne M  Rampolla (P),,,,,,,
Advanced Spanish Grammar - 42986 - SPAN 141 - 011,Class,1:10 pm - 2:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Cultural Evolution of Latin America - 45243 - SPAN 152 - 010,Class,7:45 am - 9:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Matthew R.  Bush (P),,,,,,,
Business Spanish - 49494 - SPAN 211 - 010,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Antonio   Prieto (P),,,,,,,
Contemporary Short Mexican Narrative - 49581 - SPAN 297 - 010,Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
The Boom and Beyond - 46367 - SPAN 397 - 010,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Matthew R.  Bush (P),,,,,,,
