Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Education and Inclusion of Individuals with Special Needs in K-12 - 41108 - SPED 332 - 010,Class,4:10 pm - 7:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Minyi Shih  Dennis (P),,,,,,,
Applied Behavior Analysis - 40567 - SPED 402 - 010,Class,4:10 pm - 7:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Christine L.  Cole (P),,,,,,,
"Diversity, Families, and School Collaborations in K-12 - 48366 - SPED 404 - 010",Class,7:10 pm - 10:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Timothy J.  Silvestri (P),,,,,,,
K-12 Classroom Environment and Management - 48370 - SPED 409 - 010,Class,7:10 pm - 10:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Brenna K.  Wood (P),,,,,,,
Alternative Curricular Approaches - 40568 - SPED 418 - 010,Class,4:10 pm - 7:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Academic Interventions: PreK-8 - 40569 - SPED 419 - 010,Class,4:10 pm - 7:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Field Experience: Special Education Certification - 44535 - SPED 420 - 010,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Lecture,Brenna K.  Wood (P),,,,,,,
Transition to Post-school Life - 48969 - SPED 423 - 010,Class,4:10 pm - 7:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Linda M.  Bambara (P),,,,,,,
Applied Research Practicum - 42175 - SPED 434 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Research,Teaching   Staff (P),,,,,,,
General Education and Special Education Student Teaching and Seminar - 47964 - SPED 442 - 010,Class,4:10 pm - 7:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Brenna K.  Wood (P),,,,,,,
Assessment in Special Education - 44536 - SPED 452 - 010,Class,4:10 pm - 7:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Minyi Shih  Dennis (P),,,,,,,
Advanced Inclusionary Practices in K-12 - 45121 - SPED 465 - 010,Class,7:10 pm - 10:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Advanced Inclusionary Practices in K-12 - 48416 - SPED 465 - 011,Class,4:10 pm - 7:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Dissertation - 40756 - SPED 499 - 010,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Dissertation,Teaching   Staff (P),,,,,,,
Dissertation - 41109 - SPED 499 - 011,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Dissertation,Teaching   Staff (P),,,,,,,
