Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Supply Chain Operations Management - 46930 - SCM 186 - 010,Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Paul   Myerson (P),,,,,,,
Supply Chain Operations Management - 46931 - SCM 186 - 011,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Paul   Myerson (P),,,,,,,
Supply Chain Operations Management - 46932 - SCM 186 - 012,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Paul   Myerson (P),,,,,,,
Supply Chain Operations Management - 49427 - SCM 186 - 013,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Paul   Myerson (P),,,,,,,
"Supply, Cost, and Risk Managment - 47863 - SCM 309 - 010",Class,8:45 am - 10:00 am,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Robert J.  Trent (P),,,,,,,
Negotiations and Conflict Management - 45898 - SCM 328 - 010,Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Liuba Y.  Belkin (P),,,,,,,
Demand and Supply Chain Planning - 47171 - SCM 340 - 010,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Nada R.  Sanders (P),,,,,,,
e-Business Enterprise Applications - 44062 - SCM 342 - 010,Class,9:20 am - 10:35 am,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Susan A.  Sherer (P),,,,,,,
e-Business Enterprise Applications - 49428 - SCM 342 - 011,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Susan A.  Sherer (P),,,,,,,
Integrated Logistics and Transportation Management - 49171 - SCM 354 - 010,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Zach G.  Zacharia (P),,,,,,,
Directed Readings - 41488 - SCM 371 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Robert J.  Trent (P),,,,,,,
Special Topics - 41383 - SCM 372 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Robert J.  Trent (P),,,,,,,
Supply Chain Management Internship - 46927 - SCM 373 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Robert J.  Trent (P),,,,,,,
