Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Overview of Teaching and Learning - 48371 - TLT 401 - 010,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Full On line Class,Alec M.  Bodzin (P),,,,,,,
Overview of Teaching and Learning - 49107 - TLT 401 - D10,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Full On line Class,Alec M.  Bodzin (P),,,,,,,
Overview of Teaching and Learning - 49108 - TLT 401 - D11,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Full On line Class,Alec M.  Bodzin (P),,,,,,,
"Diversity,Families, and School Collaborations in K-12 - 48367 - TLT 404 - 010",Class,7:10 pm - 10:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Timothy J.  Silvestri (P),,,,,,,
Instructional Design for K-12 Classrooms - 47229 - TLT 407 - 010,Class,4:10 pm - 7:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Scott Roy  Garrigan (P),,,,,,,
K-12 Classroom Environment and Management - 48143 - TLT 409 - 010,Class,7:10 pm - 10:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Brenna K.  Wood (P),,,,,,,
Social Studies in PreK through 4th Grade - 45126 - TLT 412 - 010,Class,4:10 pm - 7:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Thomas Chalmers  Hammond (P),,,,,,,
Science in PreK through 4th Grade - 45129 - TLT 426 - 010,Class,4:10 pm - 7:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Alec M.  Bodzin (P),,,,,,,
Social Studies in Middle Level and High School Education - 49124 - TLT 431 - 010,Class,7:10 pm - 10:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Thomas Chalmers  Hammond (P),,,,,,,
Reading and Critical Thinking in Middle Level and High School Education - 47234 - TLT 432 - 010,Class,4:10 pm - 7:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Laura Brook E.  Sawyer (P),,,,,,,
English in Middle Level and High School Education - 49125 - TLT 434 - 010,Class,7:10 pm - 10:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Pre-professional Seminar - 45130 - TLT 440 - 010,Class,4:10 pm - 7:00 pm,M,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Helen Lynn  Columba-Piervallo (P),,,,,,,
General Education and Special Education Student Teaching and Seminar - 45132 - TLT 442 - 010,Class,4:10 pm - 7:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Brenna K.  Wood (P),,,,,,,
General Education Student Teaching and Seminar - 45133 - TLT 444 - 010,Class,4:10 pm - 7:00 pm,W,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Helen Lynn  Columba-Piervallo (P),,,,,,,
Introduction to Multimedia Programming and Resource Development for Learning - 48810 - TLT 458 - 010,Class,4:10 pm - 7:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Scott Roy  Garrigan (P),,,,,,,
Trends&Innovations Instr Tech - 49126 - TLT 462 - 010,Class,7:10 pm - 10:00 pm,R,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Scott Roy  Garrigan (P),,,,,,,
Doctoral Research Project - 48372 - TLT 486 - 010,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Research,Teaching   Staff (P),,,,,,,
Culminating Research Project - 48934 - TLT 494 - 010,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Dissertation - 44699 - TLT 499 - 010,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Dissertation,Teaching   Staff (P),,,,,,,
Dissertation - 44700 - TLT 499 - 011,Class,TBA,,To Be Determined-Hrs Arranged,"Aug 25, 2014 - Dec 05, 2014",Dissertation,Teaching   Staff (P),,,,,,,
