Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Introduction To Theatre - 40577 - THTR 001 - 010,Class,9:20 am - 10:35 am,TR,049  Zoellner Arts Center 220,"Aug 25, 2014 - Dec 05, 2014",Lecture,Jeffrey R.  Milet (P),,,,,,,
Introduction To Acting - 41174 - THTR 011 - 010,Class,1:10 pm - 3:00 pm,TR,049  Zoellner Arts Center 121,"Aug 25, 2014 - Dec 05, 2014",Lecture,Pam   Pepper (P),,,,,,,
Introduction To Acting - 40578 - THTR 011 - 011,Class,10:10 am - 12:00 pm,MW,049  Zoellner Arts Center 131,"Aug 25, 2014 - Dec 05, 2014",Lecture,Kashi K.  Johnson (P),,,,,,,
Stagecraft I - 40579 - THTR 020 - 010,Class,10:10 am - 11:00 am,MW,049  Zoellner Arts Center 130,"Aug 25, 2014 - Dec 05, 2014",Lecture,Andrew Frances  Southard (P),,,,,,,
Stage Properties and Decoration - 44671 - THTR 022 - 010,Class,12:10 pm - 1:00 pm,R,049  Zoellner Arts Center 130,"Aug 25, 2014 - Dec 05, 2014",Lecture,Katherine M.  Coots (P),,,,,,,
Basic Scene Painting - 41318 - THTR 023 - 010,Class,11:10 am - 12:00 pm,W,049  Zoellner Arts Center 130,"Aug 25, 2014 - Dec 05, 2014",Lecture,Katherine M.  Coots (P),,,,,,,
Costume Construction I - 47082 - THTR 025 - 010,Class,10:10 am - 11:00 am,MW,049  Zoellner Arts Center 030,"Aug 25, 2014 - Dec 05, 2014",Lecture,Pamela D.  Richey (P),,,,,,,
Costume Construction II - 47730 - THTR 026 - 010,Class,10:45 am - 12:00 pm,R,049  Zoellner Arts Center 030,"Aug 25, 2014 - Dec 05, 2014",Lecture,Pamela D.  Richey (P),,,,,,,
Lighting Technology and Production I - 40583 - THTR 027 - 010,Class,3:10 pm - 5:00 pm,T,049  Zoellner Arts Center 131,"Aug 25, 2014 - Dec 05, 2014",Lecture,Susan M.  Ragusa (P),,,,,,,
Lighting Technology and Production II - 40584 - THTR 028 - 010,Class,3:10 pm - 4:00 pm,R,049  Zoellner Arts Center 304,"Aug 25, 2014 - Dec 05, 2014",Lecture,Susan M.  Ragusa (P),,,,,,,
Sound Technology and Production I - 46085 - THTR 030 - 010,Class,12:10 pm - 2:00 pm,W,049  Zoellner Arts Center 131,"Aug 25, 2014 - Dec 05, 2014",Lecture,Kristian Derek  Ball (P),,,,,,,
Sound Technology and Production II - 46086 - THTR 031 - 010,Class,12:10 pm - 2:00 pm,W,049  Zoellner Arts Center 131,"Aug 25, 2014 - Dec 05, 2014",Lecture,Kristian Derek  Ball (P),,,,,,,
Performance: The Effect of Gamma Rays on Man-in-the-Moon Marigolds - 40835 - THTR 035 - 010,Class,5:00 pm - 11:00 pm,MTWRF,049  Zoellner Arts Center 220,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),,,,,,,
Performance: Kind Ness and MInnesota - 41319 - THTR 035 - 011,Class,6:00 pm - 11:00 pm,MTWRF,049  Zoellner Arts Center 131,"Aug 25, 2014 - Dec 05, 2014",Lecture,Pam   Pepper (P),,,,,,,
Performance: THTR 245 - 42111 - THTR 035 - 012,Class,6:00 pm - 11:00 pm,MTWRF,049  Zoellner Arts Center 121,"Aug 25, 2014 - Dec 05, 2014",Lecture,Augustine   Ripa (P),,,,,,,
Performance: Lab and Rehearsal Time - 47733 - THTR 035 - 013,Class,4:10 pm - 6:00 pm,MWRF,049  Zoellner Arts Center 131,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P),Class Activity 1,5:10 pm - 6:00 pm,T,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Teaching   Staff (P)
Stage Management - 40834 - THTR 045 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Ruth Elizabeth Briese  Miller (P),,,,,,,
Dramatic Action - 40589 - THTR 060 - 010,Class,10:10 am - 12:00 pm,MW,049  Zoellner Arts Center 220,"Aug 25, 2014 - Dec 05, 2014",Lecture,Augustine   Ripa (P),,,,,,,
Contemporary African American Theatre: 1990's to the Present - 49184 - THTR 062 - 010,Class,10:45 am - 12:00 pm,TR,049  Zoellner Arts Center 211,"Aug 25, 2014 - Dec 05, 2014",Lecture,Darius   Williams (P),,,,,,,
Stage Crew - 46343 - THTR 067 - 010,Class,11:10 am - 12:00 pm,R,049  Zoellner Arts Center 220,"Aug 25, 2014 - Dec 05, 2014",Lecture,Andrew Frances  Southard (P),,,,,,,
Costume Crew - 44882 - THTR 068 - 010,Class,11:10 am - 12:00 pm,M,049  Zoellner Arts Center 030,"Aug 25, 2014 - Dec 05, 2014",Lecture,Pamela D.  Richey (P),,,,,,,
