Link,Type,Time,Days,Location,Date Range,Schedule Type,Instructor,Type 2,Time 2,Days 2,Location 2,Date Range 2,Schedule Type 2,Instructor 2
Women & Men in Society - 48770 - WGSS 001 - 010,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Jacqueline   Krasas (P),,,,,,,
Love Factually - 49538 - WGSS 104 - 010,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Peter   Nagy (P),,,,,,,
"Viewing Mad Men:  Window, Mirror, Screen - 49540 - WGSS 104 - 011",Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Kristin   Handler (P),,,,,,,
Women in America - 48771 - WGSS 124 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Gail A.  Cooper (P),,,,,,,
Breastfeeding&Public Health - 49500 - WGSS 197 - 010,Class,1:10 pm - 2:25 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Colleen Michele  Martell (P),,,,,,,
Identity Wars and the Battle for Authenticity - 49339 - WGSS 198 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Monica R.  Miller (P),,,,,,,
Independent Reading and Research - 48773 - WGSS 271 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Independent Study,Jacqueline   Krasas (P),,,,,,,
Sex and Sexuality in Contemporary American Fiction - 49542 - WGSS 304 - 010,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Mary C.  Foltz (P),,,,,,,
Sex and Sexuality in Contemporary American Fiction - 49544 - WGSS 304 - 011,Class,2:35 pm - 3:50 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Mary C.  Foltz (P),,,,,,,
"Internship in Women, Gender and Sexuality Studies - 48774 - WGSS 330 - 010",Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Jacqueline   Krasas (P),,,,,,,
Gendered Experience and Globalization - 48775 - WGSS 331 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Yuping   Zhang (P),,,,,,,
Women and Health - 48641 - WGSS 341 - 010,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Karen M.  Hicks (P),,,,,,,
Seminar in Feminist Theory - 49518 - WGSS 350 - 010,Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Colleen Michele  Martell (P),,,,,,,
Internship in Women's Center - 48777 - WGSS 373 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Rita M.  Jones (P),,,,,,,
Internship in Women's Center - 48778 - WGSS 373 - 011,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Brooke Elizabeth  DeSipio (P),,,,,,,
Cultural Contexts of Pregnancy and Childbirth - 49502 - WGSS 398 - 010,Class,11:10 am - 12:25 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Rita M.  Jones (P),,,,,,,
Senior Thesis - 48780 - WGSS 399 - 010,Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Thesis,Jacqueline   Krasas (P),,,,,,,
Gendered Experience of Globalization - 48776 - WGSS 418 - 010,Class,10:45 am - 12:00 pm,TR,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Yuping   Zhang (P),,,,,,,
"Internship in Women, Gender and Sexuality Studies - 48781 - WGSS 430 - 010",Class,TBA,,TBA,"Aug 25, 2014 - Dec 05, 2014",Internship,Jacqueline   Krasas (P),,,,,,,
Women and Health - 48993 - WGSS 441 - 010,Class,12:45 pm - 2:00 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Karen M.  Hicks (P),,,,,,,
Seminar in Feminist Theory - 49519 - WGSS 450 - 010,Class,2:35 pm - 3:50 pm,MW,TBA,"Aug 25, 2014 - Dec 05, 2014",Lecture,Colleen Michele  Martell (P),,,,,,,
